30/11/0766	unknown 0	unknown	becomes parent	Saʿd al-Dīn al-Bashīrī 182
31/12/0746	unknown 0	unknown	becomes parent	ʿAbd al-Raḥmān al-Zarandī 2364
31/12/0759	unknown 0	unknown	becomes parent	Muḥammad b. Jamāʿa 2382
31/12/0760	unknown 0	unknown	becomes parent	ʿAbd al-Wahhāb al-Fawwī 2399
17/03/0854	ʾUzbak min Ṭuṭukh al-Sāqī 876	unknown	marries	Khadīja bt al-Ẓāhir Jaqmaq 2320
31/12/0737	unknown 0	unknown	becomes parent	Muḥammad al-ʾIskandarī 2465
26/12/0865	al-ʾAshrafīya Barsbāy 82	mamālīk	is khushdāsh	Jānim al-ʾAshrafī  26
08/04/0854	Tanam al-Muʾayyadī 227	ʾamīr majlis (sulṭān)	marries	ʾukht al-Ẓāhir Jaqmaq 2428
09/07/0833	Yashbak 2608	unknown	is ustādh	Zayn al-Dīn Khushqadam al-Yashbakī 2601
09/07/0833	Yashbak 2608	unknown	is ustādh	Zayn al-Dīn Khushqadam al-Yashbakī 2601
31/12/0782	al-Ẓāhir Barqūq 4	ʾatābak ʿasākir (al-Qāhira/Cairo)	is ustādh	al-Muʾayyad Shaykh 12
31/12/0784	al-Ẓāhir Barqūq 4	ʾatābak ʿasākir (al-Qāhira/Cairo)	is ustādh	al-Muʾayyad Shaykh 12
01/01/0784	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	al-Muʾayyad Shaykh 12
01/09/0815	Nawrūz al-Ḥāfiẓī 35	unknown	is ustādh	unknown 0
01/01/0833	Buzlār al-ʿUmarī 1706	nāʾib (Dimashq/Damascus)	is ustādh	ʾAlṭunbughā Mughriq 2699
30/06/0834	Yalbughā al-Nāṣirī al-ʾAtābakī 1728	unknown	is ustādh	Jānibak al-Nāṣirī Thawr 2726
10/10/0791	Timurbughā al-ʾAfḍalī Minṭāsh 1894	ʾatābak ʿasākir (al-Qāhira/Cairo)	marries	Bint al-Malik al-ʾAshraf Shaʿbān 2733
01/01/0856	al-ʾAshraf ʾĪnāl al-ʾAjrūd 846	sulṭān	is intimate with	Timrāz al-ʾĪnālī al-ʾAshrafī 889
31/12/0790	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	Taghrī Birdī al-Bashbughāwī  1889
31/12/0790	al-Ẓāhir Barqūq 4	sulṭān	is ustādh	Taghrī Birdī al-Bashbughāwī  1889
21/09/0865	al-Muʾayyad ʾAḥmad b. ʾĪnāl 211	sulṭān	is intimate with	unknown 0
21/09/0865	al-Muʾayyad ʾAḥmad b. ʾĪnāl 211	sulṭān	is intimate with	unknown 0
14/01/0866	Qarājā al-ʿUmarī 658	unknown	is intimate with	Jarbāsh Kurd al-Muḥammadī 272
31/12/0808	al-Nāṣir Faraj b. Barqūq 14	sulṭān	marries	Fāṭima 2402
31/12/0808	Taghrī Birdī al-Bashbughāwī  1889	ʾamīr 100 (al-Qāhira/Cairo)	is related through marriage with	al-Nāṣir Faraj b. Barqūq 14
31/12/0811	Taghrī Birdī al-Bashbughāwī  1889	unknown	becomes parent	Yūsuf b. Taghrī Birdī 924
01/01/0815	Muqbil al-Rūmī al-Ẓāhirī 1992	ʾamīr 100 (al-Qāhira/Cairo)	marries	Sārā bt. al-Ẓāhir Barqūq 2752
01/01/0815	al-Nāṣir Faraj b. Barqūq 14	sulṭān	is related through marriage with	Muqbil al-Rūmī al-Ẓāhirī 1992
01/08/0815	Bulāṭ al-Ẓāhirī 2148	ʾamīr ʿalam (sulṭān)	is khushdāsh	mamālīk sulṭānīya (al-Nāṣir Faraj) 885
31/12/0767	unknown 0	unknown	becomes parent	Ṣadr al-Dīn b. al-ʾĀdamī  114
31/12/0753	unknown 0	unknown	becomes parent	ʾAḥmad al-Miṣrī 2340
31/12/0749	unknown 0	unknown	becomes parent	ʾAḥmad b. al-Ḥisbānī 2337
31/12/0791	al-Ẓāhir Barqūq 4	sulṭān	becomes parent	al-Nāṣir Faraj b. Barqūq 14
07/03/0816	al-Muʾayyad Shaykh 12	sulṭān	is ustādh	Fāris al-Maḥmūdī 136
07/03/0816	al-Muʾayyad Shaykh 12	sulṭān	is intimate with	Fāris al-Maḥmūdī 136
13/05/0866	ʾĪnāl al-ʾAshqar al-Ẓāhirī al-Khāṣṣakī 1429	wālī (al-Qāhira/Cairo)	is khushdāsh	khushdāshīya ʾĪnāl al-ʾAshqar al-Ẓāhirī al-Khāṣṣakī 2804
26/09/0835	Dawlāt Khujā al-Ẓāhirī 2866	unknown	is khushdāsh	mamālīk ẓāhirīya  937
08/07/0816	al-Nāṣir Faraj b. Barqūq 14	unknown	is related through marriage with	Baktamur Julaq 220
08/07/0816	Satīta bt. al-Nāṣir Faraj 219	unknown	marries	Baktamur Julaq 220
