Jarbāsh Qāshuq al-Karīmī 51	ʾamīr 100 (al-Qāhira/Cairo)
Jarbāsh Qāshuq al-Karīmī 51	mamālīk sulṭānīya (sulṭān)
Qurqmās Sayyidī al-Kabīr 53	ʾamīr (general)
Muḥibb al-Dīn Muḥammad b. al-ʾAshqar 55	baṭṭāl
ʾAḥmad b. al-ʿAjamī 61	baṭṭāl
Taghrī Birdī Sayyidī al-Ṣaghīr 65	ʾamīr (general)
Damurdāsh al-Muḥammadī 67	ʾatābak ʿasākir (Dimashq/Damascus)
Damurdāsh al-Muḥammadī 67	ʾatābak ʿasākir (Ḥalab/Aleppo)
Damurdāsh al-Muḥammadī 67	ʾatābak ʿasākir (al-Qāhira/Cairo)
Damurdāsh al-Muḥammadī 67	ʾamīr 
Damurdāsh al-Muḥammadī 67	ʾamīr 100 (al-Qāhira/Cairo)
ʾAqbughā al-ʾAsandamurī 68	baṭṭāl
Sūdūn al-Muḥammadī Talī 69	ʾamīr 100 (al-Qāhira/Cairo)
Ḥasan b. Muḥibb al-Dīn 70	ʾamīr (Ṭarābulis/Tripoli)
Ḥasan b. Muḥibb al-Dīn 70	ʾamīr 100 (Ṭarābulus/Tripoli)
ʾAsanbughā al-Ṭayyārī 73	ʾamīr 100 (al-Qāhira/Cairo)
ʾAsanbughā al-Ṭayyārī 73	ʾamīr 100 (al-Qāhira/Cairo)
ʾAsanbughā al-Ṭayyārī 73	ʾamīr 010 (al-Qāhira/Cairo)
ʾAsanbughā al-Ṭayyārī 73	muqaddam barīdīya (al-Qāhira/Cairo)
ʾAsanbughā al-Ṭayyārī 73	ʾamīr 040 (Ṭarābulus/Tripoli)
ʾAsanbughā al-Ṭayyārī 73	ʾamīr 040 (al-Qāhira/Cairo)
Baybughā al-Muẓaffarī 74	ʾamīr kabīr (Dimashq/Damascus)
Baybughā al-Muẓaffarī 74	ʾamīr kabīr (al-Qāhira/Cairo)
Baybughā al-Muẓaffarī 74	ʾamīr 100 (al-Qāhira/Cairo)
Baybughā al-Muẓaffarī 74	ʾatābak ʿasākir (Dimashq/Damascus)
Baybughā al-Muẓaffarī 74	ʾatābak ʿasākir (al-Qāhira/Cairo)
Baybughā al-Muẓaffarī 74	ʾamīr 010 (al-Qāhira/Cairo)
Baybughā al-Muẓaffarī 74	baṭṭāl
Ṭawkh Baṭṭīkh 75	ʾamīr 100 (al-Qāhira/Cairo)
Qamish al-Ẓāhirī 76	ʾamīr 100 (al-Qāhira/Cairo)
Yashbak b.ʾUzdamur 77	ʾatābak ʿasākir (Dimashq/Damascus)
Yashbak b.ʾUzdamur 77	ʾamīr 010 (al-Qāhira/Cairo)
