Source	Label	Target
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Qarā Jānibak al-Ẓāhirī Jaqmaq 2507
al-Ẓāhir Jaqmaq 2	master (khāṣṣakī) of	Timurbughā al-Ẓāhirī 754
al-Ẓāhir Jaqmaq 2	khāṣṣakī of	al-Ẓāhir Barqūq 4
al-Ẓāhir Jaqmaq 2	mamlūk (tājir) of	Kazlak 3677
al-Ẓāhir Jaqmaq 2	relative of	Muḥammad b. al-Fakhrī ʿUthmān 3180
al-Ẓāhir Jaqmaq 2	relative of	Mamjiq al-Nawrūzī 598
al-Ẓāhir Jaqmaq 2	ḥam of	ʾUzbak min Ṭuṭukh al-Sāqī 876
al-Ẓāhir Jaqmaq 2	ḥam of	Kamāl al-Dīn b. al-Bārizī 99
al-Ẓāhir Jaqmaq 2	ṣihr of	Jarbāsh Qāshiq al-Karīmī 51
al-Ẓāhir Jaqmaq 2	owner of	ʾUmm Muḥammad 1498 1499
al-Ẓāhir Jaqmaq 2	owner of	ʾUmm Fāṭima (1502) 1612
al-Ẓāhir Jaqmaq 2	owner of	ʾUmm Muḥammad (1503) 1613
al-Ẓāhir Jaqmaq 2	owner of	ʾUmm Muḥammad (1522) 1614
al-Ẓāhir Jaqmaq 2	nadīm of	Muḥammad al-Ṣaghīr 120
al-Ẓāhir Jaqmaq 2	nadīm of	Muḥammad b. ʾAmīr ʿAlī 1355
al-Ẓāhir Jaqmaq 2	nadīm of	ʾAlṭunbughā al-Ẓāhirī al-Muʿallim 805
al-Ẓāhir Jaqmaq 2	nadīm of	Qānī Bāy al-Jārkasī 44
al-Ẓāhir Jaqmaq 2	nadīm of	Muḥammad b. Qāsim 132
al-Ẓāhir Jaqmaq 2	nadīm of	Muḥammad b. ʿAlī b. Shaʿbān 3888
al-Ẓāhir Jaqmaq 2	nadīm of	ʿAlāʾ al-Dīn b. ʾĀqbars 275
al-Ẓāhir Jaqmaq 2	khusdāsh of	Zayn al-Dīn Khushqadam al-Khāṣṣakī 3706
al-Ẓāhir Jaqmaq 2	khusdāsh of	Zayn al-Dīn Khushqadam al-Khāṣṣakī 3706
al-Ẓāhir Jaqmaq 2	khusdāsh of	Yashbak al-ʾAtābakī al-Mushidd 28
al-Ẓāhir Jaqmaq 2	patron of	Muḥammad al-Ṣaghīr 120
al-Ẓāhir Jaqmaq 2	patron of	ʿAlāʾ al-Dīn b. ʾĀqbars 275
al-Ẓāhir Jaqmaq 2	patron of	khāṣṣakīya ʾAshrafīya (Jaqmaq) 845
al-Ẓāhir Jaqmaq 2	patron of	Taghrī Birmish al-Turkmānī 110
al-Ẓāhir Jaqmaq 2	patron of	Ḥasan Shāh 3249
al-Ẓāhir Jaqmaq 2	patron of	Ibn Jānbak 3283
al-Ẓāhir Jaqmaq 2	patron of	Timurbughā al-Ẓāhirī 754
al-Ẓāhir Jaqmaq 2	patron of	ʾAbū Bakr al-Muṣāriʿ 3686
al-Ẓāhir Jaqmaq 2	patron of	Muḥammad al-Kātib al-Rūmī 3112
al-Ẓāhir Jaqmaq 2	patron of	Jānibak al-Ẓāhirī Nāʾib Jidda 869
al-Ẓāhir Jaqmaq 2	patron of	ʾAḥmad b. ʿAlī b. ʾĪnāl al-Yūsufī 693
al-Ẓāhir Jaqmaq 2	patron of	Nāṣir al-Dīn b. Būwālī 1109
al-Ẓāhir Jaqmaq 2	patron of	al-Shihābī b. al-ʿAṭṭār 3378
al-Ẓāhir Jaqmaq 2	patron of	ʾAsandamur al-Jaqmaqī 1177
al-Ẓāhir Jaqmaq 2	patron of	ʾAḥmad b. Nawrūz al-Khuḍarī 1185
al-Ẓāhir Jaqmaq 2	patron of	ʿAlī b. Bardis 4350
al-Ẓāhir Jaqmaq 2	patron of	Muḥammad b. ʿAlī b. Shaʿbān 3888
al-Ẓāhir Jaqmaq 2	patron of	ʾAbu l-Khayr al-Naḥḥās 1168
al-Ẓāhir Jaqmaq 2	patron of	Khalīl b. al-Nāṣir Faraj 672
al-Ẓāhir Jaqmaq 2	patron of	Nūkār al-Nāṣirī 933
al-Ẓāhir Jaqmaq 2	patron (mulāzama) of	Khalīl al-Sakhāwī 566
al-Ẓāhir Jaqmaq 2	patron (mulāzama) of	ʾAḥmad b. Nawrūz al-Khuḍarī 1185
al-Ẓāhir Jaqmaq 2	patron (mulāzama) of	ʾAyitmish al-Khuḍarī al-ʾAʿwar 577
al-Ẓāhir Jaqmaq 2	patron (mulāzama) of	Muḥammad b. ʿAlī b. Shaʿbān 3888
al-Ẓāhir Jaqmaq 2	patron (tabʿ) of	ʿAlī b. Nāṣir al-Dīn Muḥammad 79
al-Ẓāhir Jaqmaq 2	patron (ṣaḥāba) of	Walī al-Dīn Muḥammad al-Safṭī 111
al-Ẓāhir Jaqmaq 2	ṣāḥib of (=)	ʿAlāʾ al-Dīn b. ʾĀqbars 275
al-Ẓāhir Jaqmaq 2	ṣāḥib of (=)	ʿAlāʾ al-Dīn b. ʾĀqbars 275
al-Ẓāhir Jaqmaq 2	ṣāḥib of (=)	Shāh Rukh b. Tīmūrlank 143
al-Ẓāhir Jaqmaq 2	ṣāḥib of (=)	Kamāl al-Dīn b. al-Humām 2670
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	Khalīl al-Sakhāwī 566
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	Yalbughā al-Jārkasī 521
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	khāṣṣ / khawwāṣ (al-Ẓāhir Jaqmaq) 640
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	Walī al-Dīn Muḥammad al-Safṭī 111
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	ʿAlī b. ʾĪnāl al-Yūsufī 5
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	Sūrbāy al-Jārkasīya 1142
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	Timurbughā al-Ẓāhirī 754
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	ʾAḥmad b. ʿAlī b. ʾĪnāl al-Yūsufī 693
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	Mughulbāy al-Ẓāhirī 1491
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	Birdibak al-Ẓāhirī al-Bajmaqdār 1091
al-Ẓāhir Jaqmaq 2	patron (khāṣṣ) of	Yār ʿAlī al-ʿAjamī al-Ṭawīl 565
