source	target	weight	type
Taghrī Birdī al-Bashbughāwī  1889	Yūsuf b. Taghrī Birdī 924	20	parent of
Taghrī Birdī al-Bashbughāwī  1889	Yūsuf b. Taghrī Birdī 924	20	parent of
Taghrī Birdī al-Bashbughāwī  1889	Fāṭima 2402	20	parent of
Taghrī Birdī al-Bashbughāwī  1889	Ḥamza b. Taghrī Birdī 2745	20	parent of
Taghrī Birdī al-Bashbughāwī  1889	Qāsim b. Taghrī Birdī 2744	20	parent of
Taghrī Birdī al-Bashbughāwī  1889	Bayram bint Taghrī Birdī 2746	20	parent of
Taghrī Birdī al-Bashbughāwī  1889	Hājir bint Taghrī Birdī 2747	20	parent of
Taghrī Birdī al-Bashbughāwī  1889	ʾIbrāhīm b. Taghrī Birdī 2748	20	parent of
Taghrī Birdī al-Bashbughāwī  1889	ʾIsmāʿīl b. Taghrī Birdī 2749	20	parent of
Taghrī Birdī al-Bashbughāwī  1889	Muḥammad b. Taghrī Birdī 2750	20	parent of
Taghrī Birdī al-Bashbughāwī  1889	ʿAʾisha Shaqrāʾ bint Taghrī Birdī 2751	20	parent of
Taghrī Birdī al-Bashbughāwī  1889	Bint Taghrī Birdī al-Bashbughāwī  3029	20	parent of
Taghrī Birdī al-Bashbughāwī  1889	Shāhīn al-ʾAfram 41	15	sibling of
Taghrī Birdī al-Bashbughāwī  1889	Damurdāsh al-Muḥammadī 67	10	relative of
Taghrī Birdī al-Bashbughāwī  1889	Shīrīn al-Rūmīya 2741	10	relative of
Timurbughā al-ʾAfḍalī Minṭāsh 1894	Muḥammad ibn Minṭāsh 2593	20	parent of
Jarbāsh al-Shaykhī 1900	Muḥammad b. Jarbāsh al-Shaykhī 3635	20	parent of
Jarbāsh al-Ẓāhirī 1903	ikhwat Jarbāsh al-Ẓāhirī 4122	15	sibling of
Jardamur ʾAkhū Ṭāz 1905	walad Jantamur 3093	20	parent of
Jardamur ʾAkhū Ṭāz 1905	Ṭāz 3139	15	sibling of
Ḥusām al-Dīn Ḥasan b. Bākīsh 1910	walad Ḥasan ibn Bākīsh 3182	20	parent of
Zāmil b. Muhannā 1917	Muʿayqil b. Faḍl  1991	10	relative of
