source	target	weight	type
Julbān al-Hindī 260	Qānībāy 4131	15	sibling of
Julbān al-Hindī 260	ʾUruz* 4132	15	sibling of
Julbān al-Hindī 260	ʾAbū Yazīd 3746	15	sibling of
Julbān al-Hindī 260	zawjat wālid Julbān al-Hindī 4128	10	relative of
al-Muʾayyadīya 268	ʾĪnāl al-Muʾayyadī ʾAkhū Qashtam 511	15	sibling of
al-Muʾayyadīya 268	ʾĪnāl al-Muʾayyadī ʾAkhū Qashtam 511	15	sibling of
al-Muʾayyadīya 268	ʾĪnāl al-Muʾayyadī ʾAkhū Qashtam 511	15	sibling of
Jarbāsh Kurd al-Muḥammadī 272	al-Nāṣirī Muḥammad 1124	20	parent of
Jarbāsh Kurd al-Muḥammadī 272	ibnat Jarbāsh Kurt al-Muḥammadī 2473	20	parent of
Jarbāsh Kurd al-Muḥammadī 272	Khayrbak al-Bahlawān al-ʾAshrafī 2240	10	relative of
Dawlāt Bāy al-Muʾayyadī 273	waladā Dawlāt Bāy al-Muʾayyadī 3577	20	parent of
Dawlāt Bāy al-Muʾayyadī 273	Bint Dawlāt Bāy al-Muʾayyadī 4160	20	parent of
Dawlāt Bāy al-Muʾayyadī 273	Jānim al-ʾAshrafī  26	10	relative of
Barsbughā 286	Ṭarabāy al-Ẓāhirī 294	15	sibling of
Barakāt b. ʿAjlān 293	Muḥammad b. Barakāt 1040	20	parent of
Barakāt b. ʿAjlān 293	Muḥammad b. Barakāt 1040	20	parent of
Barakāt b. ʿAjlān 293	ʿAlī b. Ḥasan b. ʿAjlān 619	15	sibling of
Barakāt b. ʿAjlān 293	ʾakh Barakāt b. ʿAjlān 841	15	sibling of
Barakāt b. ʿAjlān 293	Banū ʿAjlān 2273	15	sibling of
Barakāt b. ʿAjlān 293	ʾAḥmad b. Ḥasan b. ʿAjlān 1598	15	sibling of
Barakāt b. ʿAjlān 293	ʾAbu l-Qāsim b. Ḥasan b. ʿAjlān 736	15	sibling of
Barakāt b. ʿAjlān 293	ʾIbrāhīm b. Ḥasan b. ʿAjlān 735	15	sibling of
Barakāt b. ʿAjlān 293	Munjid Rumaytha b. ʾAbī Numay 4072	10	relative of
Ṭarabāy al-Ẓāhirī 294	Barsbughā 286	15	sibling of
Jarbāsh Kabbāsha 298	bint Jarbāsh Kabbāsha 4119	20	parent of
Jarbāsh Kabbāsha 298	walad Jarbāsh Kabbāsha 4120	20	parent of
Kumushbughā al-Faysī 311	ʿAlī b. ʾIskandar 1012	10	relative of
Mughul bint al-Bārizī 319	Khadīja bt al-Ẓāhir Jaqmaq 2320	20	parent of
Mughul bint al-Bārizī 319	Kamāl al-Dīn b. al-Bārizī 99	15	sibling of
Mughul bint al-Bārizī 319	ʾUkht Mughul  4292	15	sibling of
ʾIbrāhīm b. al-Hayṣam 321	ʿAbd al-Razzāq b. al-Hayṣam 183	5	nephew of
ʾIbrāhīm b. al-Hayṣam 321	dhurrīyat al-Muqawqis 4219	10	relative of
Baybars al-ʾAshrafī 324	Julbān al-Hindī 260	15	sibling of
Baybars al-ʾAshrafī 324	ʾUkht Baybars 4130	15	sibling of
Baybars al-ʾAshrafī 324	Jakam Khāl al-ʿAzīz 47	15	sibling of
Baybars al-ʾAshrafī 324	al-ʿAzīz Yūsuf b. al-ʾAshraf Barsbāy 8	1	uncle of
Yaghmūr b. Bahādur 329	walad Yaghmūr b. Bahādur 330	20	parent of
Qarā Yūsuf b. Qarā Muḥammad 331	ʾIskandar b. Qarā Yūsuf 141	20	parent of
Qarā Yūsuf b. Qarā Muḥammad 331	ʾIskandar b. Qarā Yūsuf 141	20	parent of
Qarā Yūsuf b. Qarā Muḥammad 331	Bīr Budaq 1187	20	parent of
Qarā Yūsuf b. Qarā Muḥammad 331	ʾIṣbahān b. Qarā Yūsuf 2684	20	parent of
Qarā Yūsuf b. Qarā Muḥammad 331	ʾIṣbahān b. Qarā Yūsuf 2684	20	parent of
Qarā Yūsuf b. Qarā Muḥammad 331	Jahān Shāh b. Qarā Yūsuf 140	20	parent of
Qarā Yūsuf b. Qarā Muḥammad 331	Shāh Muḥammad b. Qarā Yūsuf 341	20	parent of
Qarā Yūsuf b. Qarā Muḥammad 331	ibnat Qarā Yūsuf b. Qarā Muḥammad 4688	20	parent of
Qarā Yūsuf b. Qarā Muḥammad 331	Bayram Khujā 3543	10	relative of
Ḥasan b. ʿAjlān al-Ḥasanī 334	Barakāt b. ʿAjlān 293	20	parent of
Ḥasan b. ʿAjlān al-Ḥasanī 334	ʾAḥmad 456	20	parent of
Ḥasan b. ʿAjlān al-Ḥasanī 334	ʾAḥmad b. Ḥasan b. ʿAjlān 1598	20	parent of
Ḥasan b. ʿAjlān al-Ḥasanī 334	ʿAlī b. Ḥasan b. ʿAjlān 619	20	parent of
Ḥasan b. ʿAjlān al-Ḥasanī 334	Banū ʿAjlān 2273	20	parent of
Ḥasan b. ʿAjlān al-Ḥasanī 334	ʾAḥmad b. ʿAjlān 2800	15	sibling of
Ḥasan b. ʿAjlān al-Ḥasanī 334	ʿAlī b. ʿAjlān al-Ḥasanī 4143	15	sibling of
Ḥasan b. ʿAjlān al-Ḥasanī 334	Muḥammad b. ʿAjlān 4468	15	sibling of
Ḥasan b. ʿAjlān al-Ḥasanī 334	Rumaytha b. Muḥammad b. ʿAjlān 457	1	uncle of
ʿAzīz al-Ḥasanī 335	Sulaymān b. ʿAzīz 4125	20	parent of
Muḥammad Kirishjī  337	Murād Bak b. ʿUthmān 3790	20	parent of
Muḥammad Kirishjī  337	Murād Bak b. ʿUthmān 144	20	parent of
Muḥammad Kirishjī  337	ʾikhwat Muḥammad Kirishjī  4465	15	sibling of
Muḥammad Kirishjī  337	Sulaymān b. ʾArkhun Bak 3510	10	relative of
Muḥammad Bāk b. Qaramān 338	Dāwud b. Qaramān 769	20	parent of
Muḥammad Bāk b. Qaramān 338	Muṣṭafā b. Qaramān 826	20	parent of
Muḥammad Bāk b. Qaramān 338	ʾIbrāhīm b. Qaramān 1150	20	parent of
Muḥammad Bāk b. Qaramān 338	ʿAlī Bāk b. Qaramān 1400	15	sibling of
Muḥammad Bāk b. Qaramān 338	ʿAlībāk  3789	5	nephew of
Shāh Muḥammad b. Qarā Yūsuf 341	ʾIṣbahān b. Qarā Yūsuf 2684	15	sibling of
Shāh Muḥammad b. Qarā Yūsuf 341	ʾIskandar b. Qarā Yūsuf 141	15	sibling of
Shāh Muḥammad b. Qarā Yūsuf 341	ʾAṣbahān b. Qarā Yūsuf * 541	15	sibling of
Shāh Muḥammad b. Qarā Yūsuf 341	Jahān Shāh b. Qarā Yūsuf 140	15	sibling of
Shāh Muḥammad b. Qarā Yūsuf 341	Mīrzāh b. ʾAkhī Qarā Yūsuf 4582	10	relative of
Qānṣūh al-Nawrūzī 344	Muḥammad b. Qānṣūh 348	20	parent of
Yar ʿAlī al-Dukarī 346	Maḥmūd b. al-Dukarī  361	20	parent of
Muḥammad Balabān 352	Muḥammad al-Kharbānī 353	20	parent of
Faraj b. Ṣawjī * 358	ʾIbrāhīm b. Ṣawjī * 359	15	sibling of
ʾIbrāhīm b. Ṣawjī * 359	Faraj b. Ṣawjī * 358	15	sibling of
Ṣawjī * 360	Faraj b. Ṣawjī * 358	20	parent of
Ṣawjī * 360	ʾIbrāhīm b. Ṣawjī * 359	20	parent of
Ṣawjī * 360	ʾAḥmad b. Ṣawjī * 368	20	parent of
Ṣawjī * 360	Qāsim b. Ṣawjī * 370	20	parent of
Muḥammad b. ʿAbd al-Razzāq 363	ʿAbd al-Ghanī b. ʾAbī al-Faraj 1923	15	sibling of
Muḥammad b. ʿAbd al-Razzāq 363	Zayn al-Dīn Yaḥyā 118	10	relative of
Muḥammad b. ʿAbd al-Razzāq 363	Zayn al-Dīn Yaḥyā 118	10	relative of
ʿAlāʾ al-Dīn ʿAlī b. al-Mughallī 374	ʾAkhū ʿAlāʾ al-Dīn al-Mughallī 4387	15	sibling of
ʿAlāʾ al-Dīn ʿAlī b. al-Mughallī 374	Maḥmūd b. ʾAkhū ʿAlāʾ al-Dīn al-Mughallī 4388	1	uncle of
ʾAḥmad b. Ramaḍān al-Turkumānī 392	ʾawlād ʾAḥmad b. Ramaḍān 692	20	parent of
ʾAḥmad b. Ramaḍān al-Turkumānī 392	Ḥamza b. ʾAḥmad b.Ramaḍān 1140	20	parent of
ʾAḥmad b. Ramaḍān al-Turkumānī 392	ʾIbrāhīm b. ʾAḥmad b. Ramaḍān al-Turkumānī 1846	20	parent of
ʾAḥmad b. Ramaḍān al-Turkumānī 392	bint ʾAḥmad b. Ramaḍān 3639	20	parent of
ʾAḥmad b. Ramaḍān al-Turkumānī 392	ʾIbrāhīm b. Ramaḍān 393	15	sibling of
ʾIbrāhīm b. Ramaḍān 393	ʾawlād ʾIbrāhīm b. Ramaḍān 746	20	parent of
ʾIbrāhīm b. Ramaḍān 393	Ibn ʿAmih Ḥamza* 744	15	sibling of
ʾIbrāhīm b. Ramaḍān 393	ʾAḥmad b. Ramaḍān al-Turkumānī 392	15	sibling of
Fasilīs* 394	bint Fasilīs* 395	20	parent of
ʿUthmān Qarā Yuluk 397	ʾAbū Yazīd b. Qarā Yulūk 444	20	parent of
ʿUthmān Qarā Yuluk 397	Ḥamza al-ʿAshārī 792	20	parent of
ʿUthmān Qarā Yuluk 397	Hābīl b. Qarā Yuluk 2455	20	parent of
ʿUthmān Qarā Yuluk 397	Murād Bak b. Qarā Yuluk 3001	20	parent of
ʿUthmān Qarā Yuluk 397	Yaḥyā b. al-ʾAshraf 3004	20	parent of
ʿUthmān Qarā Yuluk 397	Maḥmūd b. Qarā Yuluk 2958	20	parent of
ʿUthmān Qarā Yuluk 397	Ibn Qarā Yulūk 3409	20	parent of
ʿUthmān Qarā Yuluk 397	Ibnat ʿUthman Qarā Yulūk 3411	20	parent of
ʿUthmān Qarā Yuluk 397	Muḥammad Bayk b. Qarā Yulūk 3385	20	parent of
ʿUthmān Qarā Yuluk 397	ʿAlī Bak b. Qarā Yuluk 163	20	parent of
ʿUthmān Qarā Yuluk 397	Ḥasan Bak b. Sālim al-Dūkārī 2235	1	uncle of
ʿUthmān Qarā Yuluk 397	Qarā ʾAḥmad 3012	1	uncle of
ʿUthmān Qarā Yuluk 397	Jahān Kīr 166	10	relative of
Sūlaw b. Kubuk 422	Ḥusayn b. Kubuk 423	15	sibling of
Ḥusayn b. Kubuk 423	Sūlaw b. Kubuk 422	15	sibling of
Ḥaditha b. Sayf 429	Dūghān b. Ḥadītha 668	20	parent of
Sayf al-Dīn al-Qāsimī 438	al-Nāṣirī Muḥammad b. Mushtarak 4596	20	parent of
al-Ẓāhir Ṭaṭar 441	al-Malik al-Ṣāliḥ Muḥammad 882	20	parent of
al-Ẓāhir Ṭaṭar 441	Sitt al-Mulūk Bint al-Ẓāhir Ṭaṭar 1360	20	parent of
al-Ẓāhir Ṭaṭar 441	Fāṭima bt. al-Ẓāhir Ṭaṭar 3387	20	parent of
al-Ẓāhir Ṭaṭar 441	al-ʾAshraf Barsbāy 24	15	sibling of
al-Ẓāhir Ṭaṭar 441	al-Muẓaffar ʾAḥmad b. Shaykh 1364	1	uncle of
al-Ẓāhir Ṭaṭar 441	Qānī Bāy al-ʿAlāʾī 2261	10	relative of
al-Ẓāhir Ṭaṭar 441	Masrūq 4028	10	relative of
Rumaytha b. Muḥammad b. ʿAjlān 457	Ḥasan b. ʿAjlān al-Ḥasanī 334	5	nephew of
Badr al-Dīn al-ʿAynī 462	al-Zaynī ʿAbd al-Raḥīm 2920	20	parent of
Badr al-Dīn al-ʿAynī 462	Zayn al-Dīn ʿAbd al-Raḥīm al-ʿAynī 1389	20	parent of
Badr al-Dīn al-ʿAynī 462	al-Shihābī ʾAḥmad b. al-ʿAynī 2922	10	relative of
ʾAḥmad b. Nuʿayr 471	ʾAkh ʾAḥmad b. Nuʿayr 472	15	sibling of
ʾAkh ʾAḥmad b. Nuʿayr 472	ʾAḥmad b. Nuʿayr 471	15	sibling of
Fatḥ al-Dīn al-Muḥarraqī 476	Muḥammad b. Ṣadaqa al-Muḥarraqī 785	20	parent of
Fatḥ al-Dīn al-Muḥarraqī 476	Muḥammad b. Ṣadaqa al-Muḥarraqī 785	20	parent of
Muḥammad b. al-Muzalliq 482	Ḥasan b. Muḥammad b. al-Muzalliq 483	20	parent of
Shams al-Dīn Muḥammad al-Dīrī 508	Saʿd al-Dīn al-Dīrī al-Ḥanafī 94	20	parent of
Shams al-Dīn Muḥammad al-Dīrī 508	ʿAbd al-Raḥmān al-Dīrī 776	20	parent of
Shams al-Dīn Muḥammad al-Dīrī 508	Saʿd al-Dīn al-Dīrī al-Ḥanafī 94	20	parent of
Shams al-Dīn Muḥammad al-Dīrī 508	Saʿd al-Dīn al-Dīrī al-Ḥanafī 94	10	relative of
Yashbak al-Faqīh 509	al-Sharafī Yaḥyā 3330	20	parent of
ʾĪnāl al-Muʾayyadī ʾAkhū Qashtam 511	Qashtam al-Muʾayyadī 512	15	sibling of
ʾĪnāl al-Muʾayyadī ʾAkhū Qashtam 511	al-Muʾayyadīya 268	15	sibling of
Qashtam al-Muʾayyadī 512	ʾĪnāl al-Muʾayyadī ʾAkhū Qashtam 511	15	sibling of
Qashtam al-Muʾayyadī 512	ʾĪnāl al-Muʾayyadī ʾAkhū Qashtam 511	15	sibling of
ʾUrunbughā al-Nāṣirī 539	Sawinjbughā al-Yūnusī al-Nāṣirī 783	15	sibling of
ʾAṣbahān b. Qarā Yūsuf * 541	Shāh Muḥammad b. Qarā Yūsuf 341	15	sibling of
Muḥammad b. ʿUmar b. Ḥijjī 545	Zubayda bt. Ḥijjī 4065	20	parent of
Muḥammad b. ʿUmar b. Ḥijjī 545	Yaḥyā b. Ḥijjī 4066	20	parent of
Yūsuf b. ʾAḥmad al-Bāʿūnī 546	ʾIbrāhīm b. al-Bāʿūnī 98	15	sibling of
Muḥibb al-Dīn ʾAḥmad al-Baghdādī 553	Ibn Muḥibb al-Dīn ʾAḥmad al-Baghdādī 3973	20	parent of
Muḥibb al-Dīn ʾAḥmad al-Baghdādī 553	ʾakh Muḥibb al-Dīn ʾAḥmad al-Baghdādī 3972	15	sibling of
Zaynab bt. Jarbāsh Qāshiq 555	Muḥammad 2431	20	parent of
Muḥammad Bak b. Dulghādir 556	Nafīsa bt. Muḥammad Bak 562	20	parent of
Muḥammad Bak b. Dulghādir 556	walad Muḥammad Bak b. Dulghādir 676	20	parent of
Muḥammad Bak b. Dulghādir 556	walad Muḥammad Bak b. Dulghādir (2) 763	20	parent of
Muḥammad Bak b. Dulghādir 556	walad Muḥammad Bak b. Dulghādir (3) 767	20	parent of
Muḥammad Bak b. Dulghādir 556	Dāwud b. Dulghādir 1468	20	parent of
Muḥammad Bak b. Dulghādir 556	Fayyāḍ b. Muḥammad b. Dulghādir 3343	20	parent of
Muḥammad Bak b. Dulghādir 556	Sulaymān b. Muḥammad b. Dulghādir 2304	20	parent of
Muḥammad Bak b. Dulghādir 556	ʾawlād Muḥammad b. Dulghādir 3469	20	parent of
Muḥammad Bak b. Dulghādir 556	Ḥasan b. Dulghādir 3893	20	parent of
Muḥammad Bak b. Dulghādir 556	Nafīsa bt. Muḥammad Bak 562	20	parent of
Muḥammad Bak b. Dulghādir 556	ʿAlī b. Dulghādir 66	15	sibling of
Muḥammad Bak b. Dulghādir 556	ʿAlī Bak b. Dulghādir 1957	15	sibling of
Nafīsa bt. Muḥammad Bak 562	Bint Jānibak al-Ṣūfī 563	20	parent of
Nafīsa bt. Muḥammad Bak 562	Bint Jānibak al-Ṣūfī 563	20	parent of
ʿAbd al-Karīm b. Kātib al-Manākh 570	Jidda ʿAbd al-Karīm b. Kātib al-Manākh 4258	10	relative of
Jamāl al-Dīn b. Kātib Jakam 571	Walad al-Jamālī Yūsuf b. Kātib Jakam 1486	20	parent of
Jamāl al-Dīn b. Kātib Jakam 571	Kamāl al-Dīn Muḥammad 3371	20	parent of
Jamāl al-Dīn b. Kātib Jakam 571	ʾAḥmad b. Kātib Jakam 4063	20	parent of
Jamāl al-Dīn b. Kātib Jakam 571	Khadīja bt. Kātib Jakam 4064	20	parent of
Jamāl al-Dīn b. Kātib Jakam 571	ʾIbrāhīm b. Kātib Jakam 2552	15	sibling of
Jamāl al-Dīn b. Kātib Jakam 571	ʿAbd al-Razzāq b. al-Hayṣam 183	10	relative of
ʿĪsā b. Yūsuf b. ʿUmar al-Hawwārī 575	Sulaymān b. ʿĪsā b. ʿUmar al-Hawwārī  1449	20	parent of
ʿĪsā b. Yūsuf b. ʿUmar al-Hawwārī 575	ʾIsmāʿīl b. ʿUmar al-Hawwārī 576	15	sibling of
ʾIsmāʿīl b. ʿUmar al-Hawwārī 576	Banū ʾIsmāʿīl al-Hawwārī 1459	20	parent of
ʾIsmāʿīl b. ʿUmar al-Hawwārī 576	ʾAḥmad b. ʾIsmāʿīl al-Hawwārī 1460	20	parent of
ʾIsmāʿīl b. ʿUmar al-Hawwārī 576	ʿĪsā b. Yūsuf b. ʿUmar al-Hawwārī 575	15	sibling of
ʾIsmāʿīl b. ʿUmar al-Hawwārī 576	Muḥammad al-Hawwārī 1212	15	sibling of
ʾIsmāʿīl b. ʿUmar al-Hawwārī 576	ʾaqārib ʾIsmāʿīl al-Hawwārī 1219	10	relative of
Muḥammad b. ʿAbd al-Munʿim al-Baghdādī 586	Muḥammad b. Muḥammad b. ʿAbd al-Munʿim al-Baghdādī al-Ḥanbalī 2786	20	parent of
Tanbak al-Ẓāhirī 592	ʾawlād Tanbak b. Tanbak 2341	20	parent of
Tanbak al-Ẓāhirī 592	al-Shihābī ʾAḥmad 3064	20	parent of
Jārkas al-Qāsimī al-Muṣāriʿ 593	ʾAbū Bakr al-Muṣāriʿ 3686	20	parent of
Jārkas al-Qāsimī al-Muṣāriʿ 593	Māmish al-Muʾayyadī 1666	15	sibling of
Jārkas al-Qāsimī al-Muṣāriʿ 593	al-Ẓāhir Jaqmaq 2	15	sibling of
Jārkas al-Qāsimī al-Muṣāriʿ 593	al-Ẓāhir Jaqmaq 2	15	sibling of
Jārkas al-Qāsimī al-Muṣāriʿ 593	al-Ẓāhir Jaqmaq 2	15	sibling of
Jārkas al-Qāsimī al-Muṣāriʿ 593	al-Manṣūr ʿUthmān b. Jaqmaq 819	1	uncle of
Mamjiq al-Nawrūzī 598	al-Ẓāhir Jaqmaq 2	10	relative of
Ḥamīd al-Dīn b. ʾAbī Ḥanīfa 602	ʿAbd al-Ḥamīd 3519	10	relative of
Jawhar al-Qunuqbāʾī al-Khāzindār 606	Jawhar al-Zimām al-Lālā 18	15	sibling of
ʿAbd al-Raḥmān b. al-Kuwayz 608	Salāḥ al-Dīn Muḥammad b. al-Kuwayz 4068	20	parent of
ʿAbd al-Raḥmān b. al-Kuwayz 608	Shihāb al-Dīn b. al-Kuwayz 4069	20	parent of
ʿAbd al-Raḥmān b. al-Kuwayz 608	Sulaymān b. al-Kuwayz 660	15	sibling of
al-Nāṣir Ḥasan 613	ʾAḥmad b. al-Sulṭān Ḥasan 1694	20	parent of
al-Nāṣir Ḥasan 613	al-Malik al-Manṣūr Muḥammad 4496	1	uncle of
al-Nāṣir Ḥasan 613	Muḥammad b. ʿAlī b. Shaʿbān 3888	10	relative of
Muḥammad ʿAbd al-Qādir 616	ʿUmar Birza* 617	15	sibling of
ʿUmar Birza* 617	Muḥammad ʿAbd al-Qādir 616	15	sibling of
ʿAlī b. Ḥasan b. ʿAjlān 619	Barakāt b. ʿAjlān 293	15	sibling of
ʿAlī b. Ḥasan b. ʿAjlān 619	ʾIbrāhīm b. Ḥasan b. ʿAjlān 735	15	sibling of
ʿAlī b. Ḥasan b. ʿAjlān 619	ʾAbu l-Qāsim b. Ḥasan b. ʿAjlān 736	15	sibling of
ʿAlī b. Ḥasan b. ʿAjlān 619	ʾAḥmad b. Ḥasan b. ʿAjlān 1598	15	sibling of
Muqbil al-Ḥasanī 647	Ṣurdāḥ b. Muqbil 3876	20	parent of
Muqbil al-Ḥasanī 647	ʿAqīl b. Wabīr 113	1	uncle of
Muqbil al-Ḥasanī 647	Maʿz b. Hijjār b. Wubayr b. Nakhbār 3254	10	relative of
Taghrī Birmish al-Zardkāsh 651	Faraj b. Taghrī Birmish al-Zardkāsh 4194	20	parent of
Taghrī Birmish al-Zardkāsh 651	ʾUkht Faraj b. Taghrī Birmish al-Zardkāsh 4195	20	parent of
Sulaymān b. al-Kuwayz 660	Muḥammad b.al-Kuwayz 4067	20	parent of
Sulaymān b. al-Kuwayz 660	ʿAbd al-Raḥmān b. al-Kuwayz 608	15	sibling of
Khalīl b. Shāhīn al-Shaykhī 664	ʾUkht Khalīl b. Shāhīn al-Shaykhī 4150	15	sibling of
Bayghūt  al-Muʾayyadī al-ʾAʿraj 665	ʾIbrāhīm b. Bayghūt 2264	20	parent of
Faraj b. al-Nāṣir Faraj 670	Muḥammad b. al-Nāṣir Faraj 671	15	sibling of
Faraj b. al-Nāṣir Faraj 670	Khalīl b. al-Nāṣir Faraj 672	15	sibling of
Faraj b. al-Nāṣir Faraj 670	ʿAbd al-ʿAzīz b. al-Nāṣir Faraj 712	15	sibling of
Faraj b. al-Nāṣir Faraj 670	ʾIbrāhīm b. al-Nāṣir Faraj 714	15	sibling of
Faraj b. al-Nāṣir Faraj 670	al-Ẓāhir Barqūq 4	10	relative of
Muḥammad b. al-Nāṣir Faraj 671	Faraj b. al-Nāṣir Faraj 670	15	sibling of
Muḥammad b. al-Nāṣir Faraj 671	Khalīl b. al-Nāṣir Faraj 672	15	sibling of
Muḥammad b. al-Nāṣir Faraj 671	Khawand Zaynab 3597	10	relative of
Muḥammad b. al-Nāṣir Faraj 671	Khawand Zaynab 3597	10	relative of
Muḥammad b. al-Nāṣir Faraj 671	Khawand Zaynab 3597	10	relative of
Khalīl b. al-Nāṣir Faraj 672	Khalīl b. Khalīl b. al-Nāṣir Faraj 4032	20	parent of
Khalīl b. al-Nāṣir Faraj 672	Ibnat Khalīl b. al-Nāṣir Faraj 4034	20	parent of
Khalīl b. al-Nāṣir Faraj 672	Faraj b. al-Nāṣir Faraj 670	15	sibling of
Khalīl b. al-Nāṣir Faraj 672	Shaqrāʾ bt. al-Nāṣir Faraj 2487	15	sibling of
Khalīl b. al-Nāṣir Faraj 672	Muḥammad b. al-Nāṣir Faraj 671	15	sibling of
Khalīl b. al-Nāṣir Faraj 672	al-Ẓāhir Barqūq 4	10	relative of
Khalīl b. al-Nāṣir Faraj 672	Khawand Zaynab 3597	10	relative of
Khadīja Khātūn 675	walad Muḥammad Bak b. Dulghādir 676	20	parent of
Khadīja Khātūn 675	Fayyāḍ b. Muḥammad b. Dulghādir 3343	20	parent of
Taqī al-Dīn al-Fāsī 683	Najm al-Dīn ʿAbd al-Laṭīf 4460	15	sibling of
Taqī al-Dīn al-Fāsī 683	Muḥibb al-Dīn al-Nuwayrī 4462	5	nephew of
Taqī al-Dīn al-Fāsī 683	ʿAbd al-Raḥmān al-Fāsī 4463	10	relative of
ʿAdhrā b. ʿAlī b. Nuʿayr 685	Madalij* 1610	15	sibling of
ʿAdhrā b. ʿAlī b. Nuʿayr 685	Nuʿayr b. Ḥayār 1492	10	relative of
ʿAlī b. Nuʿayr 686	ʿAdhrā b. ʿAlī b. Nuʿayr 685	20	parent of
ʿAlī b. Nuʿayr 686	Mūsā b.ʿAlī b. Nuʿayr 687	20	parent of
al-Mustakfī bi-llāh 688	Bint al-Mustakfī bi-llāh 1483	20	parent of
al-Mustakfī bi-llāh 688	al-Muʿtaḍid bi-llāh  258	15	sibling of
al-Mustakfī bi-llāh 688	al-Qāʾim bi-ʾAmr Allāh Ḥamza 3031	15	sibling of
al-Mustakfī bi-llāh 688	Yaḥyā b. al-Mustaʿīn bi-llāh 4155	1	uncle of
ʾAḥmad b. ʿAlī b. ʾĪnāl al-Yūsufī 693	Muḥammad 2251	15	sibling of
ʾAḥmad b. ʿAlī b. ʾĪnāl al-Yūsufī 693	ʾĪnāl al-Yūsufī al-ʾAtābak 3	10	relative of
ʾUlūgh Bak b. Shāh Rukh 694	ʿAbd al-Laṭīf 4016	20	parent of
ʾUlūgh Bak b. Shāh Rukh 694	ʿAbd al-ʿAzīz 4017	20	parent of
ʾUlūgh Bak b. Shāh Rukh 694	Bāy Sunqur b. Shāh Rukh 1261	15	sibling of
ʾUlūgh Bak b. Shāh Rukh 694	ʿAlāʾ al-Dawla b. Bāy Sunqur  4050	1	uncle of
Muḥammad b. al-Shiḥna  711	Ibn Muḥibb al-Dīn b. al-Shiḥna  2578	20	parent of
Muḥammad b. al-Shiḥna  711	ʾAbū Lisān al-Dīn 3311	20	parent of
Muḥammad b. al-Shiḥna  711	Lisān al-Dīn 2909	10	relative of
Muḥammad b. al-Shiḥna  711	Ḥasan b. al-Ṣawāf al-Ḥanafī 2343	10	relative of
ʿAbd al-ʿAzīz b. al-Nāṣir Faraj 712	Faraj b. al-Nāṣir Faraj 670	15	sibling of
ʾIbrāhīm b. al-Nāṣir Faraj 714	Faraj b. al-Nāṣir Faraj 670	15	sibling of
Badr al-Dīn b. al-Rashīd 721	ʿImād al-Dīn b. Badr al-Dīn  720	20	parent of
Ṭughrīl b. Ṣaqal Sīz* 725	Ṭur ʿAlī b. Saqal Sīz 254	15	sibling of
Ṭughrīl b. Ṣaqal Sīz* 725	Ṭur ʿAlī b. Saqal Sīz 254	1	uncle of
ʾIbrāhīm b. Ḥasan b. ʿAjlān 735	ʿAlī b. Ḥasan b. ʿAjlān 619	15	sibling of
ʾIbrāhīm b. Ḥasan b. ʿAjlān 735	ʾAbu l-Qāsim b. Ḥasan b. ʿAjlān 736	15	sibling of
ʾIbrāhīm b. Ḥasan b. ʿAjlān 735	Barakāt b. ʿAjlān 293	15	sibling of
ʾAbu l-Qāsim b. Ḥasan b. ʿAjlān 736	ʿAlī b. Ḥasan b. ʿAjlān 619	15	sibling of
ʾAbu l-Qāsim b. Ḥasan b. ʿAjlān 736	ʾIbrāhīm b. Ḥasan b. ʿAjlān 735	15	sibling of
ʾAbu l-Qāsim b. Ḥasan b. ʿAjlān 736	Barakāt b. ʿAjlān 293	15	sibling of
Timrāz al-Muʾayyadī al-Muṣāriʿ 737	ʾukht Timrāz al-Muʾayyadī al-Muṣāriʿ 4110	15	sibling of
Ibn ʿAmih Ḥamza* 744	ʾIbrāhīm b. Ramaḍān 393	15	sibling of
Khātūn 745	ʾIbrāhīm b. Ramaḍān 393	20	parent of
Ḥamza b. Dulghādir 765	Fayyāḍ b. Muḥammad b. Dulghādir 3343	5	nephew of
Ḥamza b. Dulghādir 765	Sulaymān b. Muḥammad b. Dulghādir 2304	10	relative of
ʿAbd al-Raḥmān al-Dīrī 776	Saʿd al-Dīn al-Dīrī al-Ḥanafī 94	15	sibling of
ʿAbd al-Raḥmān al-Dīrī 776	dhawū ʿAbd al-Raḥmān al-Dīrī 4244	10	relative of
Sawinjbughā al-Yūnusī al-Nāṣirī 783	ʾUrunbughā al-Nāṣirī 539	15	sibling of
Sawinjbughā al-Yūnusī al-Nāṣirī 783	ʾUrunbughā al-Nāṣirī 539	15	sibling of
Qurqmās 796	Ibn Qurqmās 3463	20	parent of
ʾIbrāhīm b. Shaykh 813	al-Muẓaffar ʾAḥmad b. Shaykh 1364	15	sibling of
ʾIbrāhīm b. Shaykh 813	al-Muẓaffar ʾAḥmad b. Shaykh 1364	15	sibling of
al-Manṣūr ʿUthmān b. Jaqmaq 819	Muḥammad b. al-Fakhrī ʿUthmān 3180	20	parent of
al-Manṣūr ʿUthmān b. Jaqmaq 819	al-Nāṣirī Muḥammad 81	15	sibling of
al-Manṣūr ʿUthmān b. Jaqmaq 819	Jārkas al-Qāsimī al-Muṣāriʿ 593	5	nephew of
