source	target	weight
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾAḥmad b. al-ʿAjamī 61	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾIbrāhīm b. Bābāy al-ʿAwwād 2469	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾIbrāhīm b. Shaykh 813	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾIbrāhīm b. al-Muʾayyad Shaykh 217	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾUrkmās al-Julbānī 1286	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾUzbak al-Sayfī Qānī Bāy Juḥā 3850	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾUzbak al-Shishmānī al-Muʾayyadī 3930	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾUzdamur al-Nāṣirī al-Ẓāhirī 1590	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾaʿyān al-Muʾayyadīya  2474	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾaʿyān nudabāʾ (Shaykh) 3226	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾĀqbirdī al-Muʾayyadī al-Minqār* 426	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾĀqsunqur al-ʾAshrafī 2648	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾĪnāl al-Jakamī 126	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾĪnāl al-Muʾayyadī ʾAkhū Qashtam 511	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾĪnāl al-Nawrūzī 1031	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʾĪnāl al-ʾAzʿarī al-ʾArghizī 425	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʿAbd al-Bāsiṭ al-Dimashqī 80	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʿAbd al-Ghanī b. ʾAbī al-Faraj 1923	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʿAbd al-ʿAzīz al-Baghdādī 666	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʿAllān al-Muʾayyadī 1314	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʿAlī Bāy al-Muʾayyadī 1023	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʿAlī Bāy al-Muʾayyadī al-Dawādār 1648	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʿUmar b. Shaykh 2354	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	ʿĀshiq Maḥmūd al-ʿAjamī 3561	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Ḥasan b. Muḥibb al-Dīn 70	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Ṣadr al-Dīn b. al-ʾĀdamī  114	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Ṭughān 888	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Ṭūghān al-ʾAmīr ʾĀkhūr 107	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Ṭūghān al-Ḥasanī 40	1
Badr al-Dīn al-ʾAqṣarāʾī 3581	Ṭūkh al-ʾAbū Bakrī al-Muʾayyadī 1413	1
Badr al-Dīn al-ʿAynī 462	Barsbāy al-Bajāsī 894	1
Badr al-Dīn al-ʿAynī 462	Barsbāy al-ʾĪnālī al-Muʾayyadī 2725	1
Badr al-Dīn al-ʿAynī 462	Duqmāq al-Muḥammadī 2218	1
Badr al-Dīn al-ʿAynī 462	Fayrūz al-Jārkasī al-Sāqī 19	1
Badr al-Dīn al-ʿAynī 462	Fāṭima bt. Qujqār 1238	1
Badr al-Dīn al-ʿAynī 462	Fāṭima bt. al-Ẓāhir Ṭaṭar 3387	1
Badr al-Dīn al-ʿAynī 462	Ibnat Jānibak al-ʾAshrafī al-Dawādār al-Thānī 4117	1
Badr al-Dīn al-ʿAynī 462	Jarbāsh 3808	1
Badr al-Dīn al-ʿAynī 462	Jarbāsh Mushidd Sayyidī 4200	1
Badr al-Dīn al-ʿAynī 462	Jawhar al-Zimām al-Lālā 18	1
Badr al-Dīn al-ʿAynī 462	Julbān al-Hindī 260	1
Badr al-Dīn al-ʿAynī 462	Jānibak al-Khāzindār al-Dawādār 1006	1
Badr al-Dīn al-ʿAynī 462	Jānibak al-Mushidd 1164	1
