source	target	weight
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Ṭūghān al-Zardkāsh  261	1
Badr al-Dīn Muḥammad b. al-Qaṭṭān 3113	Ṭūghān al-ʿUthmānī 241	1
Badr al-Dīn al-ʿAynī 462	Badr al-Dīn b. Muzhir 1079	1
Badr al-Dīn al-ʿAynī 462	Badr al-Dīn Ḥasan b. Naṣr Allāh al-Fawwī 88	1
Badr al-Dīn al-ʿAynī 462	Badr al-Dīn Ḥusayn 913	1
Badr al-Dīn al-ʿAynī 462	Barakāt b. ʿAjlān 293	1
Badr al-Dīn al-ʿAynī 462	Barsbāy al-Nāṣirī 105	1
Badr al-Dīn al-ʿAynī 462	Baybughā al-Muẓaffarī 74	1
Badr al-Dīn al-ʿAynī 462	Bayghūt  al-Muʾayyadī al-ʾAʿraj 665	1
Badr al-Dīn al-ʿAynī 462	Birdibak al-Khalīlī Qiṣqā 681	1
Badr al-Dīn al-ʿAynī 462	Birdibak al-Sayfī Yashbak 3633	1
Badr al-Dīn al-ʿAynī 462	Birdibak al-ʿAjamī al-ʾAʿwar 177	1
Badr al-Dīn al-ʿAynī 462	Damurdāsh al-Muḥammadī 67	1
Badr al-Dīn al-ʿAynī 462	Dawlāt Bāy al-Muʾayyadī 273	1
Badr al-Dīn al-ʿAynī 462	Dawlāt Khujā al-Ẓāhirī 2866	1
Badr al-Dīn al-ʿAynī 462	Dāwud al-Kīlānī 3263	1
Badr al-Dīn al-ʿAynī 462	Dāwud b. al-Kuwayz 203	1
Badr al-Dīn al-ʿAynī 462	Fakhr al-Dīn b. ʾAbi l-Faraj 214	1
Badr al-Dīn al-ʿAynī 462	Faraj b. Sakiz Bāy 2635	1
Badr al-Dīn al-ʿAynī 462	Fatḥ al-Dīn al-Muḥarraqī 476	1
Badr al-Dīn al-ʿAynī 462	Fāris al-Dawādār 956	1
Badr al-Dīn al-ʿAynī 462	Jalāl al-Dīn ʿAbd al-Raḥmān al-Bulqīnī 17	1
Badr al-Dīn al-ʿAynī 462	Jamāl al-Dīn Yūsuf al-Karakī 204	1
Badr al-Dīn al-ʿAynī 462	Jaqmaq al-ʾArghūn Shāwī 34	1
Badr al-Dīn al-ʿAynī 462	Jarbāsh Kabbāsha 298	1
Badr al-Dīn al-ʿAynī 462	Jarbāsh Qāshiq al-Karīmī 51	1
Badr al-Dīn al-ʿAynī 462	Jawhar al-Zimām al-Lālā 18	1
Badr al-Dīn al-ʿAynī 462	Julbān al-Muʾayyadī ʾAmīr ʾĀkhūr 179	1
Badr al-Dīn al-ʿAynī 462	Jānibak al-Khāzindār al-Dawādār 1006	1
Badr al-Dīn al-ʿAynī 462	Jānibak al-Ṣūfī 83	1
Badr al-Dīn al-ʿAynī 462	Jānibāk al-Muʾayyadī al-Dawādār 213	1
Badr al-Dīn al-ʿAynī 462	Jānibāk al-Ḥamzāwī 291	1
Badr al-Dīn al-ʿAynī 462	Jānim al-ʾAshrafī al-Bahlawān 1265	1
Badr al-Dīn al-ʿAynī 462	Jār Quṭlū al-Ẓāhirī 267	1
Badr al-Dīn al-ʿAynī 462	Kamāl al-Dīn b. al-Bārizī 99	1
Badr al-Dīn al-ʿAynī 462	Kamāl al-Dīn b. al-Humām 2670	1
Badr al-Dīn al-ʿAynī 462	Khalīl al-Jashārī 92	1
Badr al-Dīn al-ʿAynī 462	Khalīl b. Shāhīn al-Shaykhī 664	1
Badr al-Dīn al-ʿAynī 462	Kharaz 1182	1
Badr al-Dīn al-ʿAynī 462	Khayrbak al-Muʾayyadī 974	1
Badr al-Dīn al-ʿAynī 462	Kizil Bughā 807	1
Badr al-Dīn al-ʿAynī 462	Kizil Nāʾib Bahasnā 289	1
Badr al-Dīn al-ʿAynī 462	Kizil al-ʿAjamī al-ʾAjrūd 303	1
Badr al-Dīn al-ʿAynī 462	Kumushbughā al-Faysī 311	1
Badr al-Dīn al-ʿAynī 462	Kumushbughā al-Ruknī 789	1
Badr al-Dīn al-ʿAynī 462	Kumushbughā al-ʿĪsāwī 108	1
Badr al-Dīn al-ʿAynī 462	Kumushbughā Ṭūlū 906	1
Badr al-Dīn al-ʿAynī 462	Kāfūr al-Ṣarghitmishī 1972	1
Badr al-Dīn al-ʿAynī 462	Manklī Bughā al-ʾArghūn Shāwī 771	1
Badr al-Dīn al-ʿAynī 462	Manklī Khujā al-Sayfī ʾArghūn Shāh 787	1
Badr al-Dīn al-ʿAynī 462	Masʿūd al-ʿAjamī 2497	1
Badr al-Dīn al-ʿAynī 462	Mughulbāy al-Shihābī 1509	1
Badr al-Dīn al-ʿAynī 462	Muqbil al-Ḥusāmī al-Dawādār 946	1
Badr al-Dīn al-ʿAynī 462	Muḥammad b. Dawlāt Shāh 794	1
Badr al-Dīn al-ʿAynī 462	Muḥammad b. Yaʿqūb  701	1
Badr al-Dīn al-ʿAynī 462	Muḥammad b. Zayd 1078	1
Badr al-Dīn al-ʿAynī 462	Muḥammad b. Zāda Sibṭ al-ʾAqṣarāʾī 3912	1
Badr al-Dīn al-ʿAynī 462	Muḥammad b. al-Tabbānī 50	1
Badr al-Dīn al-ʿAynī 462	Muḥibb al-Dīn ʾAḥmad al-Baghdādī 553	1
Badr al-Dīn al-ʿAynī 462	Nawrūz al-Ḥāfiẓī 35	1
Badr al-Dīn al-ʿAynī 462	Nukbāy 682	1
Badr al-Dīn al-ʿAynī 462	Nāṣir al-Dīn b. Būwālī 1109	1
Badr al-Dīn al-ʿAynī 462	Nāṣir al-Dīn b. al-Bārizī 71	1
Badr al-Dīn al-ʿAynī 462	Nāṣir al-Dīn b. al-ʿAdīm 101	1
Badr al-Dīn al-ʿAynī 462	Qarā Murād Khujā 1173	1
Badr al-Dīn al-ʿAynī 462	Qarājā al-ʾAshrafī   263	1
Badr al-Dīn al-ʿAynī 462	Qarāsunqur 1264	1
Badr al-Dīn al-ʿAynī 462	Qaṣrūh min Timrāz al-Ẓāhirī 145	1
Badr al-Dīn al-ʿAynī 462	Qujaq al-ʿĪsāwī 207	1
Badr al-Dīn al-ʿAynī 462	Qujqār al-Qurdumī 247	1
Badr al-Dīn al-ʿAynī 462	Qurqmās Sayyidī al-Kabīr 53	1
Badr al-Dīn al-ʿAynī 462	Qurqmās al-Shaʿbānī 11	1
Badr al-Dīn al-ʿAynī 462	Quṭlūbughā al-Khalīlī 478	1
Badr al-Dīn al-ʿAynī 462	Quṭlūbughā al-Tanamī 442	1
Badr al-Dīn al-ʿAynī 462	Qānī Bāy al-Ḥamzāwī 176	1
Badr al-Dīn al-ʿAynī 462	Qānī Bāy al-Ṣaghīr al-Muḥammadī 42	1
Badr al-Dīn al-ʿAynī 462	Qānṣūh al-Nawrūzī 344	1
Badr al-Dīn al-ʿAynī 462	Qāsim b. al-Bulqīnī 1038	1
Badr al-Dīn al-ʿAynī 462	Sayf al-Dīn al-Qāsimī 438	1
