Source	Target	Weight
الشيباني	مرو	2
النحوي	واسط	3
السعدي	القاضي	4
تدمر	طرابلس	2
الاندلسي	البلنسي	8
المروزي	الواعظ	5
الموصلي	مكة	2
الاحدب	المقريء	2
البارع	الدباس	2
غزنة	مرو	6
الشيعي	خراسان	2
البخاري	المقدسي	2
الضرير	بلنسية	4
الاديب	اللخمي	2
الغازي	المروزي	3
الاندلس	الخزرجي	2
بعلبك	همذان	4
ابيورد	الابيوردي	3
الامير	دوين	2
التميمي	حمص	2
العباسي	المكي	3
المعافري	شاطبة	3
قيسارية	منبج	2
المرية	الموصل	2
فارس	مكة	7
غرناطة	فارس	2
المصري	قوص	2
العلوي	هراة	4
دهستان	نيسابور	2
الشافعي	همذان	7
المقريء	الواعظ	9
خراسان	نيسابور	21
الفقيه	اللاذقية	2
المغربي	مصر	5
خراسان	قم	3
اصبهان	القاضي	14
السمرقندي	مرو	2
الموصل	رباط	3
الشيعي	المصري	6
الكردي	فارس	2
اللاذقية	حمص	2
الشافعي	حران	2
البصرة	حلب	6
البجاي	تلمسان	2
البغدادي	النصري	2
كنجة	مرو	2
الانصاري	شاطبة	4
المغرب	مرو	2
بزاعة	طرابلس	2
البروجردي	الشافعي	3
الرقة	حمص	3
بجاية	قفصة	2
الاسكندرية	الصعيد	4
اشبيلية	بلنسية	4
النجار	مكة	2
الشام	برقة	2
الاندلس	شريش	2
الزينبي	الموصل	2
الدمشقي	الكتاني	2
الاطرابلسي	المكي	2
المدينة	شيراز	2
الباطني	المولي	2
رباط	همذان	7
الدمشقي	الكلابي	2
الفرضي	المقريء	3
اشبيلية	الشام	2
افريقية	الجزيرة	3
بغداد	خوارزم	15
الازجي	الفقيه	2
السلفي	النظامي	2
القيروان	المدينة	2
الميهني	رباط	5
النوبة	طرابلس	2
القيسي	دانية	2
طبس	هراة	2
الماليني	الهروي	2
بعلبك	صرخد	3
آمد	الشام	3
العراق	الغزنوي	3
الخياط	دمشق	2
الري	خراسان	2
دمشق	كنجة	2
العراق	الواسطي	3
الامير	رباط	3
عكا	منبج	2
البارع	المغرب	2
التاجر	سمرقند	3
القيسي	المقريء	7
الاديب	الجري	2
المقدسي	صور	2
الصقلي	صقلية	7
افريقية	القاهرة	3
القدس	هراة	2
الصعيد	دمشق	2
الحداد	مصر	2
البيع	الكرخي	2
الاديب	المصري	6
الكاتب	اللغوي	2
بالس	صرخد	2
افريقية	القيسي	2
الزهري	الفقيه	4
السرقسطي	القيسي	2
الامير	الدقاق	2
المالكي	دمشق	6
الشيزري	الفقيه	2
مصر	مكة	23
الجزيرة	رباط	2
الاندلسي	القاضي	6
الاندلسي	تلمسان	2
القيرواني	بغداد	3
الاشبيلي	القيسي	5
الشاعر	واسط	3
اصبهان	صرخد	2
البغدادي	الحنبلي	30
افريقية	طرابلس	4
الحنبلي	مصر	6
الباطني	دمشق	3
جعبر	حران	2
الثعلبي	القاضي	2
المقريء	المكي	2
الانبار	امل	2
اصبهان	المحدث	16
الاطرابلسي	مكة	2
الاصبهاني	الضرير	2
العراق	غزنة	5
القيروان	تلمسان	3
الجزيرة	الروم	4
قيسارية	ما وراء النهر	2
الارمني	المصري	2
مرو	نيسابور	35
الخطيب	الكشاني	2
العراق	الموصلي	2
اصبهان	الحجاز	14
الحبشي	الخادم	4
الكوفة	دمشق	11
اذربيجان	الشافعي	3
بغداد	فيد	2
الانصاري	الصالحي	2
الانصاري	الجياني	3
الشام	فارس	9
البغدادي	العراق	16
المولي	همذان	4
العراق	خراسان	19
الضرير	بغداد	14
المالكي	المغربي	5
الحمام	الدينوري	2
البغدادي	الطحان	4
الاندلسي	المرسي	3
بخارى	طبرستان	2
الخرقي	بغداد	2
الموصل	دنيسر	2
البغدادي	الحلاوي	2
النهاوندي	بغداد	3
الاندلسي	رية	2
اذربيجان	دمشق	6
الاربلي	دمشق	2
الكرجي	بغداد	6
الامير	الهاشمي	7
الفقيه	النهاوندي	2
الاموي	بغداد	2
الجيزة	طرابلس	2
الاسكندري	الشافعي	2
المغرب	تلمسان	4
الاديب	واسط	3
المرية	فاس	5
الازدي	الاندلس	7
الاسدي	الامير	6
الاشبيلي	القاضي	5
الروم	رباط	4
الحميري	المهدية	2
بخارى	همذان	3
الطاءي	همذان	2
البغدادي	العالي	7
البغدادي	الحاسب	4
القاهرة	المغرب	6
الاربلي	الفقيه	3
الانصاري	السبتي	2
البرجي	المري	2
القيسي	المغرب	4
دمشق	دوين	3
الفقيه	الهروي	4
الحلبي	مصر	3
الواسطي	بغداد	40
رباط	سجستان	2
دانية	مصر	2
بلخ	سرخس	2
الخراساني	خراسان	2
الصوفي	امل	2
الاندلسي	القرطبي	5
المستملي	بغداد	2
الانبار	المغرب	2
الكرجي	المولي	2
التركي	الشيعي	3
الاسفراءيني	بغداد	3
السمعاني	خراسان	4
الخطيب	النسفي	2
سنجار	نصيبين	3
الاسكندرية	تونس	2
بيروت	مصر	3
البلنسي	المخزومي	2
البلوي	المقريء	2
افريقية	باجة	2
التاجر	امل	2
الفقيه	بغداد	124
الشافعي	بخارى	3
المغرب	غرناطة	4
الفقيه	المرسي	3
بعلبك	منبج	2
الصوفي	تفليس	2
الطابران	دمشق	2
اصبهان	المفيد	5
خراسان	قاسيون	2
الحاصر	الشام	2
السودان	دمشق	3
البصرة	نيسابور	6
الخرقي	اللخمي	2
الشام	تنيس	2
الانصاري	مردا	2
الجيلي	الحنبلي	3
الاديب	الطبيب	3
الري	المولي	2
الخرقي	مرو	3
الاندلس	الموصل	3
الاسكندرية	الامير	6
البغدادي	الكوفة	4
المقدسي	بغداد	9
المدينة	قم	3
جرجان	سرخس	3
الهروي	سجستان	3
صور	قزوين	2
البخاري	مصر	2
الكوفة	المحدث	4
النوبة	مصر	2
باجة	قوص	2
الزنجاني	النظامي	2
الشام	شيزر	3
الاسفراءيني	نيسابور	2
البصرة	العلوي	2
الامير	القاهرة	13
الاسكندرية	السودان	2
المولي	غرناطة	2
البغدادي	مصر	13
الشاعر	النمري	2
الاندلسي	المريي	10
الاصبهاني	نيسابور	7
الانصاري	الحنفي	2
باجة	تونس	2
الزوزني	الصوفي	7
حلب	دمشق	54
غرناطة	قرطبة	7
الاشبيلي	المغرب	7
الشاطبي	شاطبة	15
البوازيج	بغداد	2
بالس	دمشق	3
الشافعي	القاهرة	8
الطوسي	الغزالي	2
السمعاني	بلخ	4
الجياني	بلنسية	2
الكرك	دوين	2
بغداد	دهستان	2
النيسابوري	بغداد	26
بسطام	طبرستان	2
الخزرجي	العبادي	3
الحنفي	الزينبي	2
طرابلس	عكا	4
اصبهان	فارس	6
الاديب	المغرب	2
التركي	كفرطاب	2
الصنهاجي	المرية	2
دمشق	كرمان	3
الاندلس	القرطبي	15
النظامي	رباط	2
البغدادي	الفقيه	33
السراج	النيسابوري	2
العباسي	القاضي	8
الكرماني	نيسابور	3
الغرناطي	المقريء	7
السرقسطي	شاطبة	3
بارين	حمص	2
الشام	جرجان	4
الشامي	دمشق	3
الحجاز	بوشنج	2
القشيري	النيسابوري	11
جرجان	مكة	3
المشهد	خراسان	3
الروم	قفصة	2
همذان	يزد	2
الشافعي	الغزالي	3
اصبهان	البلنسي	2
الزيدي	الكوفي	3
سنجار	كفرطاب	2
اللاذقية	صور	2
امل	تكريت	2
الفقيه	المريي	2
البلنسي	النحوي	2
البصرة	امل	2
المرية	مراكش	5
الازدي	دمشق	3
ما وراء النهر	نيسابور	5
الاسفراءيني	خراسان	2
الطوسي	المشهد	2
الحاجي	بغداد	3
الفقيه	مالقة	2
الغزالي	بغداد	4
الارموي	الفقيه	2
الحجاز	الشاعر	2
الاندلس	بغداد	14
الفقيه	المدينة	6
الاندلسي	مصر	7
الشام	غزنة	2
الابيوردي	مرو	2
الخفاف	بغداد	2
الصوفي	القدس	2
اصبهان	الربعي	2
اذربيجان	بغداد	15
الهمذاني	مصر	4
الاشبيلي	العبدي	2
المغرب	باجة	2
القيروان	المغرب	2
الاطرابلسي	الانصاري	2
الاصبهاني	المغازلي	2
الشاعر	الهند	2
التاجر	الدمشقي	3
البغدادي	الهاشمي	28
غزنة	نيسابور	4
الامير	المعرة	3
الدمشقي	الشافعي	21
اربل	بغداد	8
الاسدي	البغدادي	4
البسطامي	البلخي	2
بسطام	هراة	2
الشاعر	نيسابور	2
الشيرازي	بغداد	8
حران	دمياط	2
المولي	رباط	2
المرسي	سبتة	2
طبرستان	هراة	2
الحجاز	ما وراء النهر	4
الاشبيلي	البطليوسي	2
المغرب	ميافارقين	2
الشاعر	الصقلي	3
الصوفي	النوبة	2
الشام	رباط	3
الخفاف	المقريء	4
الروم	هراة	3
بغداد	زنجان	3
العراقي	الواعظ	2
الري	طبرستان	3
الرحال	المحدث	3
مصر	نهاوند	2
الوشقي	بلنسية	2
الشام	بلخ	3
المدينة	هراة	2
صور	مرو	2
الرافضي	المعرة	2
الطوسي	المقريء	9
الخطيب	النظامي	2
القاضي	الموصل	20
