Source	Target	Weight
السلمي	فارس	3
الجوزي	خلاط	2
السلمي	اليمن	2
الشامي	القدس	2
اصبهان	القاضي	6
الفرضي	الموصل	3
الكلبي	الكناني	2
القادسية	بغداد	2
مالقة	مصر	4
السلفي	القاهرة	3
حران	خلاط	4
الحريري	الصالحي	2
الاشقر	صهيون	2
البغدادي	الجوهري	5
البصرة	حلب	2
التاجر	الجوهري	4
البغدادي	النصري	2
الارموي	بغداد	2
الداري	داريا	3
الانصاري	شاطبة	5
التجيبي	المرسي	3
المغرب	مرو	2
الاسكندرية	الصعيد	3
اشبيلية	بلنسية	8
الجياني	الطاءي	2
الحنفي	حمص	3
الفقيه	القدس	12
الكردي	حران	2
رباط	همذان	2
اربل	ماردين	2
اربل	المولي	5
البزاز	مصر	3
التاجر	القرشي	3
الدمشقي	الكلابي	5
الازجي	النجار	3
التكريتي	حلب	3
القدس	دارا	3
الكندي	اليمن	4
الفرضي	المقريء	3
البخاري	الصوفي	2
الخلاطي	الموصل	2
الشيباني	القاضي	4
اشبيلية	الشام	5
بغداد	خوارزم	16
الازجي	الفقيه	2
البارع	القاهرة	5
الاربلي	الذهبي	2
الربعي	الكاتب	2
الفقيه	الهند	2
المءرخ	المستنصري	2
الشاعر	مالقة	2
الحنبلي	اليمن	21
بعلبك	صرخد	3
آمد	الشام	8
الجزيرة	الموصلي	2
الخياط	دمشق	7
الري	خراسان	6
القيسي	المغربي	3
الجهني	المقريء	2
الامير	رباط	2
الضرير	العراقي	2
الحموي	الحنبلي	2
الفرغاني	بغداد	2
الشافعي	الغساني	2
الاسدي	الحنفي	4
حمص	غزة	3
المحدث	مالقة	2
الخطيب	مردا	6
الحنفي	المصري	16
حلب	منبج	5
دمشق	صرخد	4
العراق	الكرك	2
الانصاري	الداني	5
الصعيد	دمشق	5
الفيلسوف	قاسيون	2
اربل	خراسان	7
الاديب	المصري	31
التفليسي	المغازلي	2
الاندلسي	شريش	2
الصعيد	بغداد	3
المالكي	دمشق	25
الدمياطي	دمشق	4
الصعيد	المحدث	2
الاندلسي	القاضي	10
الدارقزي	الصوفي	2
الدمشقي	الطاءي	3
الامير	بعلبك	15
المرادي	مصر	2
الحنفي	ما وراء النهر	3
الاشبيلي	القيسي	3
البغدادي	الحنبلي	50
المالكي	قيسارية	2
الحنبلي	مصر	38
الحاذق	القاهرة	2
الاسكندراني	قيسارية	2
المغربي	مراكش	8
جعبر	حران	2
اصبهان	المحدث	16
البجلي	الدمشقي	2
الاسكندري	مكة	2
اربل	الشيباني	3
البغدادي	المفتي	4
المولي	اليمن	2
جماعيل	مكة	2
العراق	خلاط	3
بعلبك	زملكا	5
العراق	غزنة	3
الاموي	حران	2
حماة	حمص	9
المحدث	الهند	4
القاهرة	النجمي	7
الحنبلي	بعلبك	8
الصوفي	العراقي	3
الشهرزوري	مصر	3
الشافعي	الغربي	3
العراق	دمياط	3
الهمداني	بغداد	3
مرو	نيسابور	13
الجبال	الري	2
الحضرمي	القاضي	2
اصبهان	الحجاز	3
الاميني	الصالحي	4
الحريري	مردا	2
الحبشي	الخادم	6
الحميدي	الفقيه	2
الجزيرة	غرناطة	2
العدوي	مصر	4
اذربيجان	الشافعي	4
الغزال	المقريء	3
المصري	الهمذاني	2
الدمشقي	الظاهري	3
الانصاري	الصالحي	6
الحلبي	العراق	4
البعلبكي	المولي	2
الشام	فارس	13
البغدادي	العراق	26
الفقيه	اليمن	9
العراق	الكندي	2
الاندلس	السبتي	6
الضرير	بغداد	19
المالكي	المغربي	8
البغدادي	الطحان	2
الاندلسي	المرسي	5
الشام	الفاسي	2
الجوهري	مصر	3
الامير	الخلاطي	2
البغدادي	الحلاوي	4
الجزري	حران	2
الربعي	الشاعر	5
التميمي	الكاتب	4
الاديب	المستنصري	3
اذربيجان	دمشق	6
العراق	القيسي	3
البغدادي	الصالحي	6
الاشبيلي	الجزيرة	2
الناصري	مصر	5
الجذامي	النحوي	2
المقريء	الموصلي	7
الاموي	بغداد	4
اليمني	مكة	3
الاسكندري	الشافعي	2
الاديب	واسط	3
خراسان	ميافارقين	2
