Source	Target	Weight
الكوفي	حلب	7
العراق	اللغوي	9
القيرواني	بغداد	5
الشاعر	واسط	11
اصبهان	صرخد	2
البصري	الرومي	2
الغرناطي	تونس	2
الموصل	بارين	2
القاهرة	المحلي	4
حلب	نهاوند	2
الثعلبي	القاضي	2
الشيباني	بخارى	2
النظامي	خوارزم	2
التمار	الموصلي	2
المولي	اليمن	26
الخاتون	القاضي	3
الاديب	الخزرجي	2
الاطرابلسي	مكة	2
البغدادي	الطبيب	8
العراق	خلاط	3
البغدادي	السكري	13
العراق	غزنة	10
الدمياطي	المولي	2
العلاف	الواسطي	2
الفقيه	المازني	3
الفارس	القاضي	3
الاعرج	طرابلس	2
الارمني	المصري	2
المنصورة	حران	2
المتولي	النيسابوري	3
الحضرمي	القاضي	10
العراق	الموصلي	5
الحجاز	نسف	4
الحيرة	الفقيه	3
الظفري	المقريء	2
الحميدي	الفقيه	3
اذربيجان	الخويي	2
التميمي	السمرقندي	4
الري	حران	6
الزجاج	حلب	2
الحجاز	قاسيون	2
الجبال	سلماس	2
الشيرازي	الكاتب	3
المصيصي	حلب	4
الحلبي	العراق	7
الري	المنقري	2
الامير	جرجان	8
المالكي	المغربي	23
البصرة	الجرجاني	4
الكوفي	الهلالي	11
الاسكندري	الشاهد	2
الاديب	الاهواز	2
الجوهري	مصر	14
المدينة	المهدية	3
الاسكندرية	الجمحي	2
القيسي	قرطبة	14
الامير	الهاشمي	46
الاموي	بغداد	27
الحجاز	بسطام	2
السيبي	القصري	3
الحراني	حران	51
النصيبي	نصيبين	6
دهستان	مصر	2
الحجاز	الخراساني	3
خوارزم	مراغة	2
البربري	المغرب	7
البغدادي	العالي	12
الجزيرة	المءيد	2
الاخباري	مكة	3
الانصاري	السبتي	5
الداني	بغداد	2
دمشق	دوين	3
الاشقر	دمشق	6
الروم	الفارس	2
النحوي	الوراق	2
البيرة	القرطبي	4
الجزيرة	بلخ	2
القاضي	بارين	2
دانية	مصر	7
البغدادي	الكساءي	4
الخراساني	خراسان	13
البصري	اليمن	5
الاندلسي	القرطبي	37
المفسر	هراة	5
الفسطاط	اللخمي	2
التميمي	المكي	6
المعري	حران	2
الرءاسي	بغداد	3
الحنفي	العطار	4
الانبار	المغرب	3
الكرجي	المولي	2
الثقفي	المكي	5
الوالي	خراسان	2
المخزومي	المكي	31
الكناني	دمشق	16
العراق	قاسيون	5
الاسكندرية	تونس	6
البلوي	المقريء	3
البصرة	الطبري	2
الشاعر	خوارزم	3
اشبيلية	خراسان	3
الفقيه	بغداد	409
الحارثي	المدينة	2
الخياط	مصر	5
الفقيه	المرسي	4
التاجر	الكتاني	2
الرافضي	الطوسي	2
التيمي	مكة	9
الطابران	نيسابور	9
الكرخي	بغداد	19
البصري	الجزيرة	2
الحميري	الغرناطي	2
البصرة	نيسابور	50
العراق	بيروت	2
الرملي	الفقيه	2
آمد	المعرة	2
الاسكندرية	الامير	22
البغدادي	الكوفة	28
الشاعر	الغنوي	2
الاديب	الحموي	4
التاجر	الخرقي	2
الاسكندرية	الروم	6
المزني	مصر	5
المحدث	الوراق	3
العطار	حلب	4
الجحفة	الواسطي	2
الاربلي	الهمداني	2
الدمشقي	الدمياطي	3
الباجي	المقريء	2
الامير	الغربي	2
النوبة	مصر	12
الكرج	عسقلان	2
الشعري	الشيعي	2
المقريء	بجاية	3
الكوفة	طبرستان	5
الغازي	المولي	5
الابهري	الشافعي	3
الجواد	الحاكم	2
استوا	نيسابور	6
الامير	القاهرة	62
التاجر	الحبشي	2
المولي	غرناطة	4
الري	الهاشمي	7
البصرة	النخعي	3
الامير	الثماني	6
الشام	المذكر	3
الامير	القاءد	9
الحضر	المولي	2
السري	الصوفي	3
مراغة	ميافارقين	2
العلوي	المهدية	2
الاندلسي	المريي	11
طرابلس	قرطبة	8
البربري	البصرة	2
الزوزني	الصوفي	8
حلب	دمشق	258
غرناطة	قرطبة	20
البوازيج	بغداد	2
القاضي	القيرواني	4
الاسلمي	المدينة	5
الشافعي	القاهرة	88
العتكي	الكوفة	3
البصري	العراق	31
الاسكندرية	خوارزم	3
الجياني	بلنسية	2
البلدي	قاسيون	3
الحمصي	الدمشقي	8
العراقي	مصر	6
الجزيرة	نابلس	2
الذهلي	دمشق	2
العامري	الكلابي	3
البلنسي	غرناطة	6
الخراز	المصري	2
القدس	خراسان	16
الاشجعي	الكوفة	2
البصري	الخزاعي	11
دمشق	كرمان	6
الرقة	الري	2
تفليس	غزنة	2
الحاصر	الغازي	2
الفرضي	الهمذاني	2
القرشي	حلب	13
الثقفي	المءذن	2
التميمي	ما وراء النهر	2
الحمصي	العنسي	3
الحجري	الفقيه	3
الرقة	السوسي	2
الاصبهاني	السعدي	2
بعلبك	ماردين	2
الروم	قفصة	2
اصبهان	البلنسي	2
الزيدي	الكوفي	8
الطاءي	منبج	2
المزة	حران	2
الارموي	مصر	2
البغدادي	الكردي	3
مراكش	نيسابور	2
طوس	نهاوند	3
الفارسي	همذان	3
الاصبهاني	دارا	2
السلفي	المحدث	3
البلدي	المحدث	2
الاصبهاني	الري	16
الازدي	السلمي	3
البغدادي	النبوي	2
الطبري	العلوي	2
اشبيلية	شنترين	3
الزينبي	رباط	2
خراسان	ما وراء النهر	41
الخطيب	الخلال	2
الحجاز	الشاعر	6
الروم	الموصلي	3
السلفي	المالكي	2
العراق	الفسوي	3
الرازي	الكوفة	10
الري	المروزي	14
الحجاز	المستملي	2
المنقري	الوراق	2
الرقة	مرو	3
البارع	الموصل	7
اذربيجان	بغداد	33
العقيلي	مصر	5
الامدي	مصر	2
المغرب	باجة	2
الاصبهاني	المغازلي	4
الطاءي	دمشق	10
السكوني	الشام	4
النسوي	دمشق	7
الرحال	خراسان	8
الثقفي	مكة	6
الاندلسي	سوسة	2
الحلبي	السراج	2
المري	بسطام	2
الرقة	نابلس	2
بسطام	هراة	3
الشيباني	الصفار	4
البعلبكي	اليونيني	2
الكردي	حران	3
حران	دمياط	5
المولي	بيروت	6
الفارسي	الموصلي	3
الطاءي	المقريء	4
البغدادي	الصيدلاني	11
طراز	نيسابور	4
الصوفي	النوبة	5
الرازي	الروم	2
البوازيج	قيسارية	2
الشام	رباط	7
البادي	مكة	2
الطوسي	النيسابوري	2
البزاز	المديني	3
الحذاء	الكوفي	5
السلمي	المفسر	2
الفزاري	مصر	3
الري	الصفار	3
الحموي	بعلبك	3
بخارى	مكة	18
الاسكندراني	الكندي	5
الرافضي	المعرة	2
التغلبي	الكناني	2
الخطيب	النظامي	2
الجرجاني	الشام	6
القرشي	سبتة	2
الشافعي	بعلبك	22
اشبيلية	فاس	15
الحضرمي	مرسية	4
الاسكندرية	سجلماسة	3
الشام	الهاشمي	17
الجيزة	الشام	4
العبدري	مصر	2
الثقفي	المعتزلي	2
البصرة	الرياحي	2
الموصل	نيسابور	26
المغربي	مراغة	2
القاضي	المشهد	4
السوسي	الصوفي	2
جماعيل	مصر	4
الشاعر	سامراء	3
الفقيه	مكة	90
تكريت	دمشق	8
العباسي	كرمان	3
الكلابي	المحدث	3
الهيتي	هيت	2
اللخمي	عكا	2
البزاز	الشام	5
الكوفة	طبرية	3
المدينة	مروالروذ	2
اللخمي	فاس	4
الطواشي	دمشق	3
المغرب	اليهودي	3
المدينة	اليمن	33
البلنسي	جيان	4
الشام	داريا	10
الحيرة	اللخمي	2
الروم	القيسي	5
البلنسي	الكاتب	4
الزهري	الواعظ	3
الحنفي	العجلي	2
الاخباري	الصدوق	3
المدينة	بلخ	5
الطرابلسي	دمشق	3
بغداد	حلب	150
الشاهد	قرطبة	2
المصري	تونس	2
سمرقند	مكة	8
خراسان	طرابلس	4
القاضي	نابلس	4
الصوفي	شيراز	12
الاندلس	الزبيدي	2
الصلاحي	القاضي	4
الكلبي	المغرب	3
العراق	اليمامة	5
البغدادي	الوالي	2
الحنفي	الشام	17
باجة	قرطبة	4
القوي	غزنة	2
الكوفة	الواسطي	12
المروزي	المسعودي	7
الحراني	مكة	2
الاديب	القيروان	3
الدمشقي	خراسان	20
التاجر	هراة	5
بغداد	طرابلس	24
فاس	مكة	7
البيع	الحداد	2
القيسي	المدينة	4
قاسيون	قم	2
المفتي	هراة	6
الخطيب	القاهرة	9
السني	الفقيه	2
الشافعي	الغوري	2
العادلي	حران	3
البجلي	بخارى	3
الغساني	القاضي	4
الروم	سرخس	3
اشبيلية	البطليوسي	4
الانصاري	النابلسي	2
