URI	REG_MESO	TR	SEARCH	EN	TYPE	LAT	LON	AR	AR_Alt	AR_Sort
MUSHKAN_528E306N_S	Fars_RE	Muškān	Mushkan	NA	towns	52.86431	30.60582	مشكان	مشكان	مشكان
MASHKA_639E274N_S	Sind_RE	Mašká	Mashka|Mashki	NA	towns	63.94609	27.46467	مشكى	مشكى|مشكي	مشكى
MASHHAD_595E361N_S	Khurasan_RE	al-Mašhad	Mashhad	NA	towns	59.56796	36.31559	المشهد	المشهد	مشهد
MATMATA_045W341N_S	Maghrib_RE	Maṭmāṭaŧ	Matmata	NA	towns	-4.53948	34.11636	مطماطة	مطماطة	مطماطة
MAAN_357E301N_S	Sham_RE	Maʿān	Maan|Muan	NA	towns	35.72442	30.19664	معان	معان|معان	معان
MADAN_091W386N_S	Andalus_RE	al-Maʿdan	al-Madan	NA	towns	-9.19189	38.64984	المعدن	المعدن	معدن
MAARRANUMAN_366E356N_S	Sham_RE	Maʿarraŧ=al-Nuʿmān	Maarra=al-Numan	NA	towns	36.69124	35.64344	معرة=النعمان	معرة=النعمان|المعرة	معرة=النعمان
MAARRAQINNASRIN_366E360N_S	Sham_RE	Maʿarraŧ=Qinnasrīn	Maarra=Qinnasrin	NA	towns	36.69667	36.01376	معرة=قنسرين	معرة=قنسرين|المعرة	معرة=قنسرين
MALATHAYA_429E368N_S	Aqur_RE	Maʿlaṯāyaŧ	Malathaya	NA	towns	42.9635	36.81597	معلثاية	معلثاية	معلثاية
MAGHKAN_641E398N_S	Mawarannahr_RE	Maġkān	Maghkan|Mughkan	NA	towns	64.10801	39.89235	مغكان	مغكان|مغكان	مغكان
MAGHUN_577E279N_S	Kirman_RE	Maġūn	Maghun	NA	towns	57.7882	27.97676	مغون	مغون	مغون
MAQQARA_050E355N_S	Maghrib_RE	Maqqaraŧ	Maqqara	NA	towns	5.0297	35.54259	مقرة	مقرة	مقرة
MIKNASA_055W339N_S	Maghrib_RE	Miknāsaŧ	Miknasa	NA	towns	-5.56626	33.91455	مكناسة	مكناسة	مكناسة
MALAZKIRD_425E391N_S	Rihab_RE	Malāzkird	Malazkird|Malazjird|Manazjird	NA	towns	42.55713	39.1437	ملازكرد	ملازكرد|ملازجرد|منازجرد|=منازكرد	ملازكرد
MILAH_581E226N_S	JaziratArab_RE	Milaḥ	Milah	NA	towns	58.11018	22.61105	ملح	ملح	ملح
MALATIN_383E383N_S	Aqur_RE	Malaṭīn	Malatin|Malatiya	NA	towns	38.35767	38.35806	ملطين	ملطين|ملطية	ملطين
MALAQUN_039W391N_S	Andalus_RE	Malaqūn	Malaqun	NA	towns	-3.91362	39.1739	ملقون	ملقون	ملقون
MILIYANA_022E362N_S	Maghrib_RE	Miliyānaŧ	Miliyana	NA	towns	2.22246	36.27861	مليانة	مليانة	مليانة
MALIJ_310E305N_S	Misr_RE	Malīǧ	Malij	NA	towns	31.01342	30.58083	مليج	مليج	مليج
MANBIJ_379E365N_S	Aqur_RE	Manbiǧ	Manbij	NA	towns	37.98957	36.54651	منبج	منبج	منبج
MANTISHA_036W398N_S	Andalus_RE	Mantīšaŧ	Mantisha	NA	towns	-3.62588	39.81332	منتيشة	منتيشة	منتيشة
MANJABARA_682E258N_S	Sind_RE	Manǧābārá	Manjabara	NA	towns	68.25338	25.84265	منجابارى	منجابارى	منجابارى
