MATCH	URIS	TOPONYMS
ومرجوزهر	MARJWA-ZAHR_509E330N_S	مرج وزهر
وباركو	ARKU_072E360N_S	أركو
لجنجة	JANZA_463E408N_S	جنزة
لاردبيل	ARDABIL_483E382N_S	أردبيل
وبسرخس	SARAKHS_611E365N_S	سرخس
واشتيقان	USHTIQAN_720E406N_S	أشتيقان
وبواضعالمعلل	WADIMALAL_440E154N_R	واضع المعلل
بماس	MAS_519E314N_O	ماس
وسدوستان	SADUSAN_678E264N_S	سدوسان
وببند	BAND_620E260N_S	بند
والقري	QURA_495E269N_S	القرى
وجسرمنبج	JISRMANBIJ_382E366N_S	جسر منبج
لكسب	KAHDA_520E353N_S	كهدة
والعرش	URSH_428E169N_S	العرش
وبالنيرون	NIRUN_683E254N_S	النيرون
قو	QAW_314E269N_S	قو
وخابسار	KHAYSAR_673E324N_S	خايسار
وبديرالعاقول	DAYRAQUL_449E329N_S	دير العاقول
وتوزر	TAWZIR_081E339N_S	توزر
وساوة	SAWA_504E349N_S	ساوة
وبمءتة	MUTA_356E310N_S	مؤتة
وبدمنهور	DAMANHUR_304E310N_S	دمنهور
باتل	ITIL_480E462N_S,ITIL_480E462N_S	إتل : إتل
وبفدك	FADAK_393E252N_S	فدك
لفارياب	FARIYAB_649E364N_S	فارياب
لرستاق	RUSTAQ_551E284N_S	رستاق
بالداخلة	DAKHILA_287E255N_R	الداخلة
باخلة	AKHILLA_451E132N_R	أخلة
ونطوية	NATWAYA_313E306N_R	نطوية
هجرالنصر	HAJARNASR_039W352N_S	هجر النصر
وجيلان	JIL_496E371N_R	جيلان
وبالفدين	FUDAYN_405E354N_S	الفدين
بهمذان	HAMADHAN_485E347N_S	همذان
وبجبالمعدنالفضة	JIBALMADINFIDDA_568E291N_O	جبال معدن الفضة
وسمنجان	SIMINJAN_680E362N_S	سمنجان
لنهرجيحون	NAHRJAYHUN_630E393N_W,NAHRJAYHUN_684E370N_W	نهر جيحون : نهر جيحون
وخبر	KHABR_532E287N_S,KHABR_563E288N_S	خبر : خبر
وسوقسنبيل	SANBIL_501E307N_S	سنبيل
بالقدس	BAYTMAQDIS_352E317N_S	بيت المقدس
بنهرسورا	NAHRSURA_444E325N_W	نهر سورا
اندخوذ	ANDAKHUDH_651E369N_S	أندخوذ
لربس	LURBUS_088E361N_S	لربس
لحماة	HAMA_367E351N_S	حماة
وبدمياط	DIMYAT_317E314N_S	دمياط
وبالدرباني	DARBANA_574E290N_S	الدربانى
سميراء	SAMIRA_420E264N_S	سميراء
وعرفجة	ARFAJA_487E276N_S	عرفجة
وبذوالحليفة	DHUHULAYFA_395E244N_S	ذو الحليفة
اذرعات	ADHRIAT_360E326N_S	أذرعات
وفراهان	FARAHAN_497E342N_R	فراهان
اشتوركث	SUTURKATH_688E408N_S	ستوركث
وبرم	BARM_526E311N_R	برم
لسبانيكث	ARSUBANIKATH_696E399N_S,SUBANIKATH_688E423N_S	أرسبانيكث : سبانيكث
بعينتلفافان	TALLFAFAN_417E377N_S	تل فافان
سبانيكث	ARSUBANIKATH_696E399N_S,SUBANIKATH_688E423N_S	أرسبانيكث : سبانيكث
باندراب	ANDARAB_693E356N_S	أندراب
بششتر	TUSTAR_488E320N_S	تستر
بالافراحون	AFRAHUN_309E311N_R	الأفراحون
وبالمذيخرة	MUDHAYKHIRA_439E137N_S	المذيخرة
لقرميسين	QARMASIN_470E343N_S	قرماسين
وواسلان	ASLAN_011W354N_S	آسلان
برزند	BARZAND_478E389N_S	برزند
ابير	UBAYR_367E307N_S	أبير
وبرباطعلي	RIBATALI_545E372N_S	رباط علي
لصفر	SAFR_416E208N_S	صفر
وباخلاط	AKHLAT_425E387N_S	أخلاط
ورشيد	RASHID_303E314N_S	رشيد
صهرجات	SAHRAJAT_312E306N_S	صهرجات
بخركان	JARKAN_517E300N_S	جركان
والسحول	SUHUL_440E141N_R	السحول
وخاناشتران	RIBATABSHUTURAN_559E332N_S	رباط آب شتران
لصنهاجة	SANHAJA_055W352N_S	صنهاجة
وفرغانة	FARGHANA_720E403N_R	فرغانة
وساغند	SAGHAND_552E325N_S	ساغند
لشبرو	SHABRUWA_312E301N_S	شبروا
واورذانة	WARDHANA_643E401N_S	ورذانة
جكربند	JIKARBAND_623E402N_S	جكربند
وعنس	ANS_443E144N_R	عنس
وبكهمندة	KAHAMANDA_531E302N_S	كهمندة
لفاروق	FARUQ_530E299N_S	فاروق
كركوية	KARKUYA_040W388N_S	كركوية
وبشهمار	SHIHMAR_528E361N_S	شهمار
والقلوفي	QULUFI_395E321N_S	القلوفي
بروزكان	RUZKAN_519E318N_S	روزكان
بسوبة	SUBA_325E154N_S	سوبة
صرفندة	SARAFANDA_352E334N_S	صرفندة
لطريثيث	TURTHITH_584E351N_S	طرثيث
ودمشق	DIMASHQ_363E335N_S	دمشق
واسبيجاب	ISBIJAB_697E422N_S	إسبيجاب
وبيتجبرين	BAYTJIBRIL_348E316N_S	بيت جبريل
وجوزجان	JUZJAN_651E357N_R	جوزجان
لخلنجان	KHANLANJAN_515E324N_S	خان لنجان
ببزرنج	BAZRANJ_511E299N_R	بزرنج
وراسالسكر	RASSIKR_528E297N_S	رأس السكر
وبنوجاكث	NUJAKATH_695E414N_S	نوجاكث
وبوسيم	WASIM_311E301N_S	وسيم
وبسابزوار	SABZAWAR_576E361N_S	سابزوار
تيرمردان	TIRMARDAN_519E298N_R	تير مردان
وجبلاحد	JABALUHUD_395E246N_O	جبل أحد
قلعةكرماطة	QALAKARMATA_043W341N_S	قلعة كرماطة
رويدشت	RUWAYDASHT_527E324N_S	رويدشت
والتنعيم	TANIM_397E215N_S	التنعيم
والسيرجان	SIRJAN_557E294N_S	السيرجان
كهدة	KAHDA_520E353N_S	كهدة
بعشم	ASHAM_412E198N_R	عشم
ومنوف	MANUF_309E304N_S	منوف
وتبالة	TABALA_424E200N_S	تبالة
والحاجر	HAJIR_417E259N_S	الحاجر
بعنس	ANS_443E144N_R	عنس
قريةالبخاريين	QARYABUKHARIYYIN_651E380N_S	قرية البخاريين
وسنيج	ISBIDH_599E299N_S	إسبيذ
لكروان	KARWAN_517E324N_R,KARWAN_718E414N_S	كروان : كروان
بالبس	BASH_071W388N_S	البش
وخشب	KHASHAB_443E156N_R	خشب
ويلة	AYLA_349E295N_S	أيلة
يثرب	MADINA_396E244N_S	المدينة
وبدشتبرين	DASHTBARIN_561E284N_S	دشت برين
لماوراءالنهر	Mawarannahr_RE	ما وراء النهر
وبخواكند	KHUWAKAND_710E405N_S	خواكند
لالدثينة	DATHINA_419E232N_S	الدثينة
وان	WAN_433E385N_S	وان
والبس	BASH_071W388N_S	البش
وببسجرد	BASHJIRT_541E500N_R	بشجرت
وبهلبك	HULBUK_698E378N_S	هلبك
والاخروج	UKHRUJ_437E153N_R	الأخروج
ببلد	BALAD_427E364N_S	بلد
جبالمعدنالفضة	JIBALMADINFIDDA_568E291N_O	جبال معدن الفضة
بسميساط	SUMAYSAT_385E375N_S	سميساط
بحرالقلزم	BAHRQULZUM_394E190N_W	بحر القلزم
دزا	DIZA_516E353N_O	دزا
وقلعةالقوارب	QALAQAWARIB_143E380N_S	قلعة القوارب
بكلوذار	KALWADHAR_531E298N_S	كلوذار
ببارسيان	BARISIYAN_487E352N_S	بارسيان
ليابسة	YABISA_014E389N_R	يابسة
لاردستان	ARDISTAN_523E333N_S	أردستان
وبتهوذا	TAHUDHA_058E347N_S	تهوذا
ولب	LAB_072W372N_S	لب
بناتحرب	BANATJARM_427E192N_O	بنات جرم
وبجيت	KIT_590E420N_S	كيت
بنيريز	NAYRIZ_542E292N_S	نيريز
وبكمهنك	KAHAMANDA_531E302N_S	كهمندة
لصرفندة	SARAFANDA_352E334N_S	صرفندة
لرعين	RUAYN_445E144N_R	رعين
وببشت	BUSHT_582E352N_R	بشت
لنهرتستر	NAHRTUSTAR_488E318N_W	نهر تستر
وبخرقانة	KHARAQANA_675E399N_S	خرقانة
بالعقير	UQAYR_502E255N_S	العقير
ببخاري	BUKHARA_644E398N_S	بخارى
وسوسنقين	SUSANQIN_500E350N_S	سوسنقين
ونهروخشاب	NAHRWAKHSHAB_685E374N_R	نهر وخشاب
باشتوركث	SUTURKATH_688E408N_S	ستوركث
بوغكث	FAGHKATH_690E398N_S	فغكث
لبحرالخزر	BAHRKHAZAR_501E425N_W,BAHRKHAZAR_515E390N_W	بحر الخزر : بحر الخزر
بكوهاسيم	JABALFIDDA_614E353N_S	جبل الفضة
وجوسية	JUSIYA_365E344N_S	جوسية
ودلاص	DALAS_311E292N_S	دلاص
وبخوارش	KHANRUSHAN_520E312N_S	خان روشن
ودمقلة	DUNQALA_307E180N_S	دنقلة
وقرية	QURIYA_065W399N_S	قرية
بخور	KHUR_584E329N_S	خور
وادييبة	WADIYABA_414E190N_W	وادي يبة
لنهرسبيذروذ	NAHRISBIDHRUDH_488E369N_W,NAHRISBIDHRUDH_496E369N_W	نهر إسبيذروذ : نهر إسبيذروذ
بديارمضر	DIYARMUDAR_389E365N_R	ديار مضر
