MATCH	URIS	TOPONYMS
وببوزكان	BUZJAN_606E351N_S	البوزجان
ودمث	DAMTH_447E141N_S	دمث
لخبيص	KHABIS_577E304N_S	خبيص
وبطنالريف	BATNRIF_310E308N_R	بطن الريف
ومكنةابومنصور	MAKNAABUMANSUR_091E368N_R	مكنة أبو منصور
بحيرةارجيش	BUHAYRAAKHLAT_429E387N_W	بحيرة أخلاط
وبالمليدس	MALIDAS_303E312N_R	المليداس
وبنوباغ	NUBAGH_598E422N_S	نوباغ
لالسويدية	SUWAYDA_390E250N_S,SUWAYDIYYA_359E360N_S	السويداء : السويدية
بارجمان	ABADHA_526E311N_S,ARJUMAN_526E311N_R	آباذة : أرجمان
وكسكر	KASKAR_464E323N_R	كسكر
لمهدية	MAHDIYYA_110E354N_S	مهدية
خليجسردوس	KHALIJSARDUS_315E311N_W	خليج سردوس
لاندخوذ	ANDAKHUDH_651E369N_S	أندخوذ
وخوست	KHAWST_588E327N_S	خوست
وتازة	TIZA_040W342N_S	تيزا
خواف	KHAWAF_600E345N_R	خواف
وبحفرابوموسي	HAFARABUMUSA_459E284N_S	حفر أبو موسى
وبدندرة	DANDARA_326E261N_S	دندرة
بحصنمنصور	HISNMANSUR_380E378N_S	حصن منصور
لخواص	KHAWASH_618E277N_S	خواش
كناءسالحديد	KANAISHADID_279E309N_S	كنائس الحديد
لدبا	DABA_562E255N_S	دبا
بالشمسينية	SHAMSINIYYA_409E358N_S	الشمسينية
وبكرديز	KARDIZ_691E336N_S	كرديز
صنعاء	SANA_442E153N_S	صنعاء
ووخان	WAKHKHAN_723E370N_R	وخان
ريه	RAYYA_044W369N_R	رية
وباقوبة	BAQUBA_446E337N_S	بعقوبا
وبتلبحري	TALLMAHRA_391E366N_S	تل محرى
لجالق	JALQ_626E276N_S	جالق
بالبش	BASH_071W388N_S	البش
وبسميراء	SAMIRA_420E264N_S	سميراء
بفارس	Fars_RE	فارس
وبشعبدرفارد	DARBANA_574E290N_S	الدربانى
وواديساتيدما	WADIMASULIYAT_411E379N_W	وادي مسوليات
حذة	HADHA_388E254N_S	حذة
وباخياس	AKHYAS_130E381N_S	أخياس
الجربا	JARBA_381E304N_S	الجربا
والقريتان	QARYATAN_372E342N_S	القريتان
بزم	ZAMM_651E378N_S	زم
الرس	WADIRAMS_404E381N_W	وادي الرمس
كرك	KARAK_356E311N_S,KURK_584E288N_S	كرك : كرك
وببلينا	BULYANA_319E262N_S	بلينا
خنداب	KHUNDAB_492E344N_S	خنداب
واضعالمعلل	WADIMALAL_440E154N_R	واضع المعلل
وطباش	ATBASH_758E411N_S	أطباش
لارمنية	ARMINIYYA_441E394N_R	أرمنية
كران	KURAN_528E277N_S	كران
لدشتبارين	DASHTBARIN_512E292N_S	دشت بارين
الخصوف	KHASUF_428E166N_S	الخصوف
لالبطحة	BATHA_006E357N_S	البطحة
اثافت	ATHAFIT_439E161N_S	أثافت
لبادرايا	BADARAYA_459E330N_S	بادرايا
وبالاحساء	AHSA_495E253N_S	الأحساء
بالسوسقان	SUSAQAN_617E376N_S	السوسقان
ببركوش	BARKUSH_695E415N_S	بركوش
مصدقان	MASDAQAN_498E350N_S	مصدقان
بمنداس	MINDAS_008E356N_S	منداس
لكاشغر	KASHGHAR_759E394N_S	كاشغر
قسطنطنية	QUSTANTINIYYA_066E363N_S,QUSTANTINIYYA_290E411N_S	القسطنطنية : القسطنطينية
بقريةالعيون	QARYAUYUN_355E333N_S	قرية العيون
قير	QIR_530E284N_S	قير
وبجيروقان	JIRUQAN_564E280N_S	جيروقان
وبدشتارزن	DASHTARZAN_519E296N_S	دشت أرزن
واغماتويلا	AYLAN_076W314N_S	أيلان
لكرت	KURT_058W345N_S	كرت
لاذربيجان	ADHARBAYJAN_479E382N_R	أذربيجان
وببنهاالعسل	BANHAASAL_311E304N_S	بنها العسل
وداريان	DARIYAN_529E295N_S	داريان
الاوسية	AWSIYA_312E311N_R	الأوسية
كوهسيم	KUHSIM_705E411N_O	كوه سيم
وبكوهاسيم	JABALFIDDA_614E353N_S	جبل الفضة
وبالمرجان	MURJAN_556E363N_S	المرجان
بناتل	NATIL_519E364N_S	ناتل
لخاتونكث	KHATUNKATH_693E414N_S	خاتونكث
بياسة	BAYYASA_034W379N_S	بياسة
وطحا	TAHA_306E282N_S	طحا
بدزفول	DIZ_484E323N_S	الدز
بالعرش	URSH_428E169N_S	العرش
قصرايين	QASRAIN_524E308N_S	قصر أعين
وبزياداباذ	ZIYADABADH_532E298N_S	زياداباذ
باسكيفغن	ISKIFAGHAN_663E385N_S	إسكيفغن
ومزدوران	MAZDURAN_605E361N_S	مزدوران
لرباطقهستان	RIBATQAHASTAN_635E313N_S	رباط قهستان
بخاكساران	KHAKISAR_596E360N_S	خكسار
ودبوسية	DABUSIYA_660E399N_S	دبوسية
واخواش	KHAWASH_627E314N_S	خواش
وخرانة	KHAZANA_546E323N_S	خزانة
وخاش	KHASH_705E410N_S	خاش
لارجكوك	ARJIKUK_014W352N_S	أرجكوك
سوار	SUWAR_499E544N_S	سوار
وبفاس	FAS_050W340N_S	فاس
والافيعية	UFAYIYYA_407E230N_S	الأفيعية
بجرندة	JIRUNDA_028E419N_S	جرندة
بمخا	MUKHA_432E133N_S	مخا
وبالغمرة	GHAMRA_408E218N_S	الغمرة
لعبداس	ABDAS_473E314N_S	عبداس
بطرثيث	TURTHITH_584E351N_S	طرثيث
وبالوجه	WAJH_365E262N_S	الوجه
وتلمحري	TALLMAHRA_391E366N_S	تل محرى
لكنباية	KANBAYA_725E223N_S	كنباية
باصفقة	ASFAQA_622E262N_S	أصفقة
وروار	ZAWAR_568E312N_S	زاور
وملقون	MALAQUN_039W391N_S	ملقون
لالاصبهانات	ISBAHANAT_540E291N_S	الإصبهانات
وبجلولاء	JALULA_098E357N_S	جلولاء
وبسلمك	BAYLAMAK_547E378N_S	بيلمك
وبنسيا	NASA_711E404N_R	نساء
وسبيج	ISBIDH_599E299N_S	إسبيذ
بالنبك	NABK_367E340N_S,NABK_362E267N_S,NABK_374E312N_S	النبك : النبك : النبك
بسارغ	SARIGH_752E428N_S	سارغ
بمحلةنقيدة	MAHALLANUQAYDA_307E307N_S	محلة نقيدة
وبالجحشية	JAHSHIYYA_404E366N_S	الجحشية
وخولنجان	KHANLANJAN_515E324N_S	خان لنجان
وبويهند	WAYHIND_722E339N_S	ويهند
وبحراز	HARAZ_437E150N_R	حراز
بجام	JAM_605E353N_R	جام
قرينش	QARINASH_131E381N_S	قرينش
جبلسبلان	JABALSABALAN_477E382N_O	جبل سبلان
وجيرنج	JIRANJ_622E374N_S	جيرنج
لخرنجوان	KHARANJAWAN_745E428N_S	خرنجوان
واطربية	ATRABIYYA_317E307N_R	أطربية
لمنوف	MANUF_309E304N_S	منوف
كثة	YAZD_543E319N_S	يزد
لمامطير	MAMATIR_527E365N_S	مامطير
لاسيوط	ASYUT_311E271N_S	أسيوط
وبكرمينية	KARMIINIYYA_654E401N_S	كرمينية
والنيلالابيض	NILABYAD_323E150N_W	النيل الأبيض
وبخوست	KHAWST_588E327N_S	خوست
وكمخ	KAMAKH_390E395N_S	كمخ
وطمي	TUMAYY_315E309N_R	طمي
بيستون	BISUTUN_474E343N_S	بيستون
بالقادسية	QADISIYYA_439E340N_S,QADISIYYA_441E316N_S	القادسية : القادسية
ومجدلسليم	MAJDALSALIM_354E332N_S	مجدل سليم
لالنحيت	NAHIT_428E314N_S	النحيت
لبياسة	BAYYASA_034W379N_S	بياسة
وبالواحات	WAHAT_294E265N_R	الواحات
والخزيمية	KHUZAYMIYYA_431E279N_S	الخزيمية
بنهرجريب	NAHRJARIYAB_709E383N_W	نهر جريب
وخراءبابوحليمة	KHARAIBABUHALIMA_255E314N_S	خرائب أبو حليمة
وبالحوفالغربي	HAWFGHARBI_304E307N_R	الحوف الغربي
ارزن	ARZAN_416E379N_S	أرزن
بباعيناثا	BAAYNATHA_424E366N_S	باعيناثا
بطوس	TUS_594E364N_S	طوس
للنتيني	LANTINI_150E372N_S	لنتيني
ووريكة	WARIKA_076W314N_S	وريكة
وبالرب	RABB_432E334N_S	الرب
وبانياس	BANIYAS_356E332N_S	بانياس
بسياهجرد	SHAWKARD_670E370N_S	شوكرد
وبالرافقة	RAFIQA_307E306N_S,RAFIQA_390E359N_S	الرافقة : الرافقة
والدورق	DAWRAQ_489E308N_S	الدورق
لالرخوذ	RUKHKHAJ_655E314N_R	الرخاج
وبسمنجان	SIMINJAN_680E362N_S	سمنجان
وبالرها	RUHA_388E371N_S	الرها
وبجالك	JALQ_626E276N_S	جالق
لماردين	MARDIN_407E373N_S	ماردين
وكوهاسيم	JABALFIDDA_614E353N_S	جبل الفضة
المرجان	MURJAN_556E363N_S	المرجان
بالريدة	RAYDA_440E158N_S	الريدة
وابشين	ABSHIN_635E352N_S	أبشين
وهلبك	HULBUK_698E378N_S	هلبك
كامفيروز	KAMFAYRUZ_519E305N_R	كام فيروز
مءتة	MUTA_356E310N_S	مؤتة
بكرم	KURM_536E290N_S	كرم
وشقة	WASHQA_003W421N_S	وشقة
وبقرقيسياء	QARQISIYYA_404E351N_S	قرقيسية
وبسنجاهان	SANJAHAN_503E297N_S	سنجاهان
المنصف	MANSAF_320E301N_S	المنصف
بالبثنية	BATHANIYYA_361E327N_S	البثنية
ودمما	DIMIMMA_437E333N_S	دمما
وبلرقة	LURQA_017W376N_S	لرقة
وجعفراباذ	JAFARABADH_518E311N_S	جعفراباذ
وريباطعلياباذ	RIBATALIYYABADH_537E357N_S	ريباط علياباذ
صغر	SUGHAR_354E310N_S	صغر
وبقلوذر	KALWADHAR_531E298N_S	كلوذار
وبقادوسيان	FADUSBAN_529E356N_R	فادوسبان
باذغيس	BADHGHIS_620E346N_R	باذغيس
لجركان	JARKAN_517E300N_S	جركان
وبعلث	ALTH_440E340N_S	علث
ووخش	WAKHSH_687E377N_R	وخش
بقلميهن	QALMAYHAN_592E371N_S	قلميهن
دارستان	DARISTAN_587E292N_S	دارستان
بخرة	KHURRA_519E292N_S	خرة
لرباططغان	RIBATTUGHAN_628E401N_S	رباط طغان
ونشك	NASHK_580E297N_S	نشك
وكلوذار	KALWADHAR_531E298N_S	كلوذار
بالزط	HAWMAZUTT_497E310N_S	حومة الزط
وببرزند	BARZAND_478E389N_S	برزند
وخليجدقادوس	KHALIJDAQADUS_316E309N_W	خليج دقادوس
لالمغرب	Maghrib_RE	المغرب
وببحيرةالباشفوية	BUHAYRABASHFUYA_534E296N_W	بحيرة الباشفوية
وسبخةمنهوشا	SABKHAMANHUSHA_186E297N_R	سبخة منهوشا
وخاست	KHASHT_639E343N_S	خشت
ورويثة	RUWAYTHA_392E240N_S	رويثة
بخلان	KHULLAR_521E299N_S	خلار
لالكرخ	KARKH_438E342N_S,KARKH_443E333N_S	الكرخ : الكرخ
وبابلاق	BILAQ_329E239N_S	بلاق
بكاريان	KARYAN_537E280N_S	كاريان
مراقية	MARAQIYYA_359E350N_S	مراقية
وكيز	KIJ_630E260N_S	كيج
ووزكرد	WAZKARD_672E394N_S	وزكرد
وباطفيح	ATFIH_312E294N_S	أطفيح
وببوصيرالفيوم	BUSIR_311E292N_S	بوصير
بالسن	SINN_434E352N_S	السن
لجبعميرة	JUBBAMIRA_313E301N_O	جب عميرة
وبعسقلان	ASQALAN_345E316N_S	عسقلان
ببناتحرم	BANATJARM_427E192N_O	بنات جرم
لعسكرمكرم	ASKARMUKRAM_488E316N_S	عسكر مكرم
بالقريتان	QARYATAN_372E342N_S	القريتان
لبنجكث	BUMJIKATH_688E397N_S	بومجكث
السراق	DAWRAQ_489E308N_S	الدورق
وبردشير	BARDASIR_571E303N_S	بردسير
بخنجان	KHUNAJAN_502E331N_S	خنجان
لمكنةابومنصور	MAKNAABUMANSUR_091E368N_R	مكنة أبو منصور
وبجبلحمير	JABALHIMYAR_439E138N_O	جبل حمير
والمحنة	JUBBA_401E318N_S	الجبة
افكان	FAKKAN_000E352N_S	فكان
لالابواب	ABWAB_340E174N_S	الأبواب
لسوقسنبيل	SANBIL_501E307N_S	سنبيل
ببنزرت	BANZART_098E372N_S	بنزرت
ومحلةالمحروم	MAHALLAMAHRUM_309E307N_S	محلة المحروم
بالجار	JAR_385E238N_S	الجار
لجلولاء	JALULA_098E357N_S	جلولاء
لالاذيب	UDHAYB_441E314N_S	الأذيب
وبكلوان	KALWAN_646E261N_R	كلوان
وباشبيلية	ISHBILIYYA_059W374N_S	إشبيلية
بجرم	JIRM_709E368N_S	جرم
بمهدياباذ	MAHDIABADH_624E371N_S	مهدياباذ
لصاهك	SAHIK_508E307N_S,SAHIH_543E297N_S	صاهك : صهيه
بقصراعين	QASRAIN_524E308N_S	قصر أعين
واتشكهان	ATASHKAHAN_567E336N_S	أتشكهان
وبيتالرام	BAYTRAM_356E318N_S	بيت الرام
بغروند	BAGHRAWAND_431E400N_R	بغروند
سابرخست	SABURKHAST_461E369N_S	سابرخست
بنوجاكث	NUJAKATH_695E414N_S	نوجاكث
ببهاوذ	BAHAWADH_559E318N_S	بهاوذ
وباسبرة	ASBARA_707E401N_S,ASBARA_735E427N_S	أسبرة : أسبرة
بالنهية	NIHIYYA_415E343N_S	النهية
بالحمة	HAMMA_081E340N_S	الحمة
شبورقان	SHABURQAN_657E366N_S	شبورقان
بالكرج	KARAJ_495E338N_S	الكرج
باردبيل	ARDABIL_483E382N_S	أردبيل
وبمسيلحة	MUSAYLIHA_499E261N_S	مسيلحة
والمسلح	MISLAH_407E224N_S	المسلح
بصفد	SAFAD_355E329N_S	صفد
جرجانيةالصغري	JURJANIYYASUGHRA_593E422N_S	جرجانية الصغرى
اسوان	USWAN_329E241N_S	أسوان
كفرتوثا	KAFARTUTHA_404E369N_S	كفرتوثا
وببحيرةزره	BUHAYRAZARAH_612E314N_W	بحيرة زره
بشومان	SHUMAN_688E385N_S	شومان
لقلعةابنكندمان	QALAIBNKANDAMAN_451E415N_S	قلعة إبن كندمان
وبنهركوثي	NAHRKUTHA_447E327N_W	نهر كوثى
ديارربيعة	DIYARRABIA_419E366N_R	ديار ربيعة
وفروان	BARWAN_692E351N_S	بروان
وبعيذب	AYDHAB_362E224N_S	عيذب
لاوانا	AWANA_439E340N_S	أوانا
بططاء	TATA_310E306N_S	ططاء
جبلحمير	JABALHIMYAR_439E138N_O	جبل حمير
وبايذج	IDHAJ_498E318N_S	إيذج
وعينونة	AYNUNA_351E281N_S	عينونة
وعينالمغطاء	AYNMUGHATTA_138E373N_S	عين المغطاء
وبارمنية	ARMINIYYA_441E394N_R	أرمنية
وسمندر	SAMANDAR_475E429N_S	سمندر
بالاجيفر	UJAYFIR_387E316N_S	الأجيفر
لملقون	MALAQUN_039W391N_S	ملقون
وايك	IYJ_542E289N_S	إيج
رامن	RAMAN_486E342N_S	رامن
لبلد	BALAD_427E364N_S	بلد
بالسر	SIRR_568E230N_S	السر
وبخكسار	KHAKISAR_596E360N_S	خكسار
بزرداباذ	ZIRADABADH_553E366N_S	زرداباذ
بالزرم	NAHRRAZB_419E378N_W	نهر الرزب
دهليزان	DAHLIZAN_499E307N_S	دهليزان
لالحجر	HAJR_467E246N_S,HIJRSALIH_379E268N_S	الحجر : حجر صالح
اتشكهان	ATASHKAHAN_567E336N_S	أتشكهان
بصندفا	SANDAFA_311E309N_S	صندفا
بسبيج	ISBIDH_599E299N_S	إسبيذ
فهل	FAHL_356E324N_R	فهل
وبيغو	BAYGHU_042W374N_S	بيغو
لمهرجانقذق	MIHRJANQADHAQ_475E332N_R	مهرجانقذق
لارجمان	ABADHA_526E311N_S,ARJUMAN_526E311N_R	آباذة : أرجمان
لثاتورداع	THATWA-RADA_447E144N_R	ثات ورداع
لكفربطنا	KAFARBATNA_369E334N_S	كفربطنا
ببون	BAWN_439E157N_R	بون
لقراقر	QURAKIR_377E313N_S	قراكر
بقطربل	QATRABBUL_442E333N_S	قطربل
ونابلس	NABULUS_352E322N_S	نابلس
بكفرتوثا	KAFARTUTHA_404E369N_S	كفرتوثا
لجرمنقان	SARMANJI_674E376N_S	صرمنجي
وبالجار	JAR_385E238N_S	الجار
لايذج	IDHAJ_498E318N_S	إيذج
بعذنون	ADHNUN_352E333N_S	عذنون
لويهند	WAYHIND_722E339N_S	ويهند
بابل	BABIL_444E325N_S	بابل
شينيز	SINIZ_502E299N_S	سينيز
لبرقعيد	BARQAID_420E369N_S	برقعيد
لسنيج	ISBIDH_599E299N_S	إسبيذ
وبقلعةرباح	QALARABAH_037W388N_S	قلعة رباح
لجرزان	JURZAN_432E425N_R	جرزان
الرواري	RAWARA_386E320N_S	الروارى
لالخزيمية	KHUZAYMIYYA_431E279N_S	الخزيمية
وبنهرتيرا	NAHRTIRA_483E314N_S	نهر تيرا
بقرميسين	QARMASIN_470E343N_S	قرماسين
وبقديد	KHAYM_395E223N_S	الخيم
ببستنفروش	BUSHTAFRUSH_592E361N_S	بشتفروش
بسرخس	SARAKHS_611E365N_S	سرخس
وكشكان	KUSHKAN_533E327N_S	كشكان
بالكنيسة	KANISA_349E327N_S	الكنيسة
ببورنمذ	BURNAMADH_681E399N_S	بورنمذ
ببذخشان	BADHAKHSHAN_707E375N_R	بذخشان
لاسداباذ	ASADABADH_481E348N_S,ASADABADH_564E363N_S,ASADABADH_626E362N_S	أسداباذ : أسداباذ : أسداباذ
وباشروسنة	USHRUSANA_687E395N_R	أشروسنة
وبخبوشان	KHUJAN_584E369N_S	خوجان
وصيحون	NAHRSHASH_681E419N_W,NAHRSHASH_719E409N_W	نهر شاش : نهر شاش
وقنيغياث	QABRGHIYATH_653E375N_S	قبر غياث
بكيف	KAYF_624E352N_S	كيف
لكوهاسيم	JABALFIDDA_614E353N_S	جبل الفضة
وبغروة	GHARWA_498E315N_S	غروة
بمحلةصرد	MAHALLASURAD_308E309N_S	محلة صرد
وارحب	ARHAB_443E158N_R	أرحب
خواكند	KHUWAKAND_710E405N_S	خواكند
وببطنالسر	BATNSIRR_379E308N_R	بطن السر
لقلعةالجص	QALAJISS_516E301N_S	قلعة الجص
لجويم	JUWAYM_522E298N_S	جويم
جدة	JUDDA_391E214N_S	جدة
وبسيالة	SAYYALA_393E241N_S	سيالة
لبناتحرم	BANATJARM_427E192N_O	بنات جرم
وبثاتورداع	THATWA-RADA_447E144N_R	ثات ورداع
لكيزكانان	KIZKANAN_665E290N_S	كيزكانان
لقرنين	QARNIN_622E315N_S	قرنين
باتفو	ATFU_328E250N_S	أتفو
صفد	SAFAD_355E329N_S	صفد
والمندب	MANDAB_434E126N_S	المندب
وبالنيل	NIL_448E325N_S	النيل
ونقاد	NUQAD_727E403N_R	نقاد
لبند	BAND_620E260N_S	بند
لتوزين	TIZIN_367E362N_S	تيزين
بطريثيث	TURTHITH_584E351N_S	طرثيث
ومكناسة	MIKNASA_055W339N_S	مكناسة
وحبرة	HABRA_350E315N_S	حبرة
رستاقبيك	RUSTAQBIK_699E371N_S	رستاق بيك
لسنبيل	SANBIL_501E307N_S	سنبيل
لخنمزدويهي	KHANMAZDAWAYHI_488E307N_S	خن مزدويهي
بغراس	BAGHRAS_362E364N_S	بغراس
وخوشان	KHUJAN_584E369N_S	خوجان
لاوذ	UDH_492E355N_S	أوذ
وباوطاس	AWTAS_406E217N_S	أوطاس
وبطابان	TABAN_407E361N_S	طابان
بصاهه	SAHIH_601E361N_S	صاهه
وجول	JUL_747E428N_S	جول
ضرية	DARIYYA_428E246N_S	ضرية
بنهيا	NIHYA_373E344N_S	نهيا
تون	TUN_581E339N_S	تون
وابير	UBAYR_367E307N_S	أبير
بقصربنونازع	QASRIBNNAZI_403E374N_S	قصر إبن نازع
وقصرايين	QASRAIN_524E308N_S	قصر أعين
وخانمردويه	KHANMAZDAWAYHI_488E307N_S	خن مزدويهي
بجولشوب	JULSHUB_724E428N_S	جول شوب
بخبوشان	KHUJAN_584E369N_S	خوجان
سوس	SUS_482E322N_S	سوس
كزه	JIZAH_623E319N_S	جزه
سقياءيزيد	SUQYAYAZID_383E261N_S	سقياء يزيد
القريتان	QARYATAN_372E342N_S	القريتان
الدور	DUR_438E344N_S	الدور
ودريز	DARIZ_515E296N_S	دريز
لقلعةرباط	QALARABAH_037W388N_S	قلعة رباح
صندفا	SANDAFA_311E309N_S	صندفا
بقبرالعبادي	QASRIBADI_172E309N_S	قصر العبادي
باصطهبانان	ISBAHANAT_540E291N_S	الإصبهانات
مغكان	MAGHKAN_641E398N_S	مغكان
لقابس	QABIS_100E338N_S	قابس
بقلعةالقوارب	QALAQAWARIB_143E380N_S	قلعة القوارب
شوكرد	SHAWKARD_670E370N_S	شوكرد
وخوجان	KHUJAN_584E369N_S	خوجان
ورستاق	RUSTAQ_551E284N_S	رستاق
ومدينةالنبي	MADINA_396E244N_S	المدينة
وبقريةالملح	QARYAMILH_526E352N_S	قرية الملح
لتازة	TIZA_040W342N_S	تيزا
وببيذ	BAND_620E260N_S,QARYABIDH_531E306N_S	بند : قرية بيذ
ببركاث	ABARKATH_673E397N_S	أباركث
لذوالحليفة	DHUHULAYFA_395E244N_S	ذو الحليفة
جاهبر	BIRBAR_575E321N_S	بئر بر
وبنوجكث	NUJAKATH_677E399N_S	نوجكث
وبواديورغة	WADIWARGHA_053W344N_W	وادي ورغة
ديرالنصاري	DAYRNASARA_330E311N_S	دير النصارى
وقديد	KHAYM_395E223N_S	الخيم
قرمونة	QARMUNA_056W374N_S	قرمونة
ببطليوث	BATALYUS_069W388N_S	بطليوس
ببابالحديد	BABHADID_670E382N_O	باب الحديد
بسفاقس	SAFAQIS_107E347N_S	سفاقس
وبنجكث	BUMJIKATH_688E397N_S	بومجكث
لسكيرالعباس	SUKAYRABBAS_405E352N_S	سكير العباس
اونس	UNAS_559E302N_S	أونس
محلةصرد	MAHALLASURAD_308E309N_S	محلة صرد
وببحيرةقدس	BUHAYRAQADAS_355E330N_W	بحيرة قدس
وبمءين	MAIN_526E301N_S	مئين
بخسروجرد	KHUSRAWJIRD_574E361N_S	خسروجرد
وبالطزر	TAZAR_464E341N_S	الطزر
ونهرالذيب	NAHRDHIB_400E380N_W	نهر الذيب
وجويم	JUWAYM_522E298N_S	جويم
وبنرماسير	NARMASIR_586E289N_S	نرماسير
بالحبشة	HABASHA_391E137N_R	الحبشة
بميقش	MIQUSH_154E381N_S	ميقش
لمرند	MARAND_458E384N_S	مرند
وبنهرالرس	NAHRRASS_448E397N_W	نهر الرس
وباشنه	USHNUH_451E370N_S	أشنه
وببيرا	BIRA_398E356N_S	بيرا
واربونة	ARBUNA_030E431N_S	أربونة
لقومس	QUMIS_541E361N_R	قومس
لالشيراوان	SIRAWAN_468E335N_S	السيروان
ببستامة	BISTAMA_307E306N_S	بستامة
وببالايان	BALAYAN_694E411N_S	بالايان
وبالاجيفر	UJAYFIR_387E316N_S	الأجيفر
وبمنزلباشو	MANZILBASHU_109E367N_S	منزل باشو
وبسجلماسة	SIJILMASA_042W312N_S	سجلماسة
نهرالملك	NAHRMALIK_443E330N_S,NAHRMALIK_445E329N_W	نهر الملك : نهر الملك
وبكرمان	Kirman_RE	كرمان
خوارش	KHANRUSHAN_520E312N_S	خان روشن
لبثيرة	BUTHIRA_142E371N_S	بثيرة
بنهرجندرور	NAHRJANDARUR_731E318N_W	نهر جندرور
بعطنة	ITNA_429E148N_S	عطنة
وبقرليون	QURLIYUN_133E378N_S	قرليون
وخوزستان	Khuzistan_RE	خوزستان
لبءرحميد	BIRHUMAYD_681E403N_S	بئر حميد
بكولان	KULAN_729E428N_S	كولان
بحماة	HAMA_367E351N_S	حماة
وبينوكرد	JARUJIRD_618E375N_S	جروجرد
لمنبج	MANBIJ_379E365N_S	منبج
نشك	NASHK_580E297N_S	نشك
وبفرزك	ZAYTUN_503E305N_S	زيتون
بهلاورد	HALAWARD_687E378N_S	هلاورد
لساغند	SAGHAND_552E325N_S	ساغند
وبجاترود	JANZARUDH_569E306N_S	جنزروذ
وبالمءدة	MAIDA_068W406N_S	المئدة
وطرمقان	TURMUGHAN_708E407N_S	ترمغان
دوسر	DAWSAR_384E359N_S	دوسر
بطخفة	TIKHFA_430E249N_S	طخفة
وباوانة	AYWANA_442E338N_S	أيوانة
لاربلخ	ARBILAKH_698E408N_S	أربلخ
لبومينة	BUMINA_297E309N_S	بومينة
اسبيذ	ISBIDH_599E299N_S	إسبيذ
لرفح	RAFH_342E313N_S	رفح
فنجبور	BANNAJBUR_641E269N_S	بنجبور
وبالبطلامية	BUTLAMIYYA_383E355N_S	البطلامية
رستاكهن	RUSTAKUHAN_664E265N_S	رستاكهن
بعاقر	AQIR_348E318N_S	عاقر
وبميمند	MIMAND_528E288N_S	ميمند
ببيسان	BAYSAN_354E325N_S	بيسان
لترنوط	TARNUT_308E304N_S	ترنوط
وبنجاي	NUJAY_564E341N_S	نجاي
ومدينةالسلام	BAGHDAD_443E333N_S	بغداد
باغمات	AGHMAT_078W314N_S	أغمات
الروم	Rum_RE	الروم
بالدالية	DALIYA_407E347N_S	الدالية
وتنس	TANAS_013E364N_S	تنس
رامة	RAMA_434E257N_S	رامة
وبرزة	BARZA_462E365N_S	برزة
وبالاقراع	AQRA_378E271N_S	الأقراع
لجاهزنداية	JAHZANDAYA_541E288N_S	جاه زنداية
والرقة	RAQQA_390E359N_S	الرقة
وخيرلم	KHAYLAM_709E411N_S	خيلام
وبالبحرين	BAHRAYN_495E261N_R	البحرين
لطبرية	TABARIYYA_355E327N_S	طبرية
وبيشكند	BISKAND_583E360N_S	بيسكند
بالمنصورة	MANSURA_688E258N_S	المنصورة
وسجلماسة	SIJILMASA_042W312N_S	سجلماسة
وبنجهير	BANJAHIR_698E355N_S	بنجهير
وافيق	AQABAFIQ_356E327N_S	عقبة الفيق
خرشكث	KHARASHKATH_689E408N_S	خرشكث
ميلا	MILA_062E364N_S	ميلا
وباطباش	ATBASH_758E411N_S	أطباش
بنهرالهرماس	NAHRHIRMAS_412E371N_W	نهر الهرماس
بحرالخزر	BAHRKHAZAR_501E425N_W,BAHRKHAZAR_515E390N_W	بحر الخزر : بحر الخزر
سنيج	ISBIDH_599E299N_S	إسبيذ
وبمخاضةالبلاط	MAKHADABALAT_060W398N_S	مخاضة البلاط
بالثعلبية	THALABIYYA_431E282N_S	الثعلبية
وببنجهير	BANJAHIR_698E355N_S	بنجهير
وواديمسون	WADIMASUN_036W344N_W	وادي مسون
بحنيةالروم	HANIYYARUM_288E308N_S	حنية الروم
والمليداس	MALIDAS_303E312N_R	المليداس
وبمرجالقلعة	MARJ_462E343N_S	المرج
لالبيرون	NIRUN_683E254N_S	النيرون
وبجم	JAMM_523E278N_S	جم
وريدة	RAYDA_440E158N_S	الريدة
لجرود	JARUD_367E338N_S	جرود
قلميهن	QALMAYHAN_592E371N_S	قلميهن
وبظفار	ZAFAR_443E142N_S	ظفار
وبلور	BALUR_520E358N_S	بلور
وكريون	KARYUN_301E311N_S	الكريون
لنهرقويق	NAHRQUWAYQ_372E362N_W	نهر قويق
والعونيد	AWNID_359E270N_S,AWNID_369E316N_S	العونيد : العونيد
وبسابورخاشت	SABURKHASHT_483E334N_S	سابورخاشت
وكابل	KABUL_352E328N_S,KABUL_691E345N_S	كابل : كابل
واسفاقس	ASFAQUS_108E347N_S	أسفاقس
بءربر	BIRBAR_575E321N_S	بئر بر
جبلاحد	JABALUHUD_395E246N_O	جبل أحد
للحج	LAHJ_448E130N_S	لحج
وبرباطدهستان	RIBATDIHISTAN_546E382N_S	رباط دهستان
بالبجاناك	BAJANAK_408E486N_R,BAJANAK_499E492N_R	البجاناك : البجاناك
وقسطنطنية	QUSTANTINIYYA_066E363N_S,QUSTANTINIYYA_290E411N_S	القسطنطنية : القسطنطينية
لنهرهلمند	NAHRHILMAND_631E304N_W	نهر هلمند
باوبة	AWBA_631E344N_S	أوبة
