id	region	lon	lat	topType	topTypeAlt	translitTitle	arTitle	translitTitleOther	arTitleOther	searchNames	arBW
SUBANIKATH_688E423N_S_TRAN	Transoxiana	68.89105	42.36818	towns	cite	Subānīkaṯ	سبانيكث	Subānīkaṯ	سبانيكث	Subanikath	Subanikath
KHARASHKATH_689E408N_S_TRAN	Transoxiana	68.90655	40.80598	towns	cite	Ḫaraškaṯ	خرشكث	Ḫaraškaṯ	خرشكث	Kharashkath	Kharashkath
KARBANK_689E373N_S_TRAN	Transoxiana	68.92955	37.32188	towns	cite	Kārbank	كاربنك	Kārbank	كاربنك	Karbank	Karbank
FAGHKATH_690E398N_S_TRAN	Transoxiana	69.01759	39.83509	towns	cite	Faġkaṯ	فغكث	Faġkaṯ, Waġkaṯ	فغكث، وغكث	Faghkath, Waghkath	Faghkath, Waghkath
LAWAKAND_690E379N_S_TRAN	Transoxiana	69.04582	37.95639	towns	cite	Lāwakand	لاوكند	Lāwakand	لاوكند	Lawakand	Lawakand
NAHRANDIJARAGH_690E375N_W_TRAN	Transoxiana	69.09689	37.59010	waters	riviere	Nahr Andīǧārāġ	نهر أنديجاراغ	Nahr Andīǧārāġ	نهر أنديجاراغ	Nahr Andijaragh	Nahr Andijaragh
JINANJAKATH_691E409N_S_TRAN	Transoxiana	69.11286	40.99560	towns	cite	Ǧīnānǧakaṯ	جينانجكث	Ǧīnānǧakaṯ	جينانجكث	Jinanjakath	Jinanjakath
ANDAJARAGH_691E372N_S_TRAN	Transoxiana	69.17687	37.26841	towns	cite	Andāǧārāġ	أنداجاراغ	Andāǧārāġ	أنداجاراغ	Andajaragh	Andajaragh
SHASH_691E412N_R_TRAN	Transoxiana	69.18357	41.27136	regions	region	al-Šāš	ﭐلشاش	al-Šāš, Bilād al-Šāš	ﭐلشاش، بلاد ﭐلشاش	al-Shash, Bilad al-Shash	al-Shash, Bilad al-Shash
WASHJIRD_692E384N_S_TRAN	Transoxiana	69.21115	38.46704	capitals	capitale	Wašǧird	وشجرد	Wašǧird, Dastǧird, Dastkird	وشجرد، دستجرد، دستكرد	Washjird, Dastjird, Dastkird	Washjird, Dastjird, Dastkird
MINK_693E393N_R_TRAN	Transoxiana	69.38051	39.30172	regions	region	Mīnk	مينك	Mīnk	مينك	Mink	Mink
KHATUNKATH_693E414N_S_TRAN	Transoxiana	69.39376	41.43060	towns	cite	Ḫātūnkaṯ	خاتونكث	Ḫātūnkaṯ	خاتونكث	Khatunkath	Khatunkath
BINKATH_694E412N_S_TRAN	Transoxiana	69.41991	41.22621	capitals	capitale	Binkaṯ	بنكث	Binkaṯ	بنكث	Binkath	Binkath
BISKATH_694E408N_S_TRAN	Transoxiana	69.42766	40.89646	towns	cite	Biskaṯ	بسكث	Biskaṯ	بسكث	Biskath	Biskath
FARGHAR_694E374N_S_TRAN	Transoxiana	69.44705	37.48738	towns	cite	Fārġar	فارغر	Fārġar, Farġar	فارغر، فرغر	Farghar, Farghar	Farghar, Farghar
BALAYAN_694E411N_S_TRAN	Transoxiana	69.45575	41.11173	towns	cite	Bālāyān	بالايان	Bālāyān	بالايان	Balayan	Balayan
MASHA_694E395N_R_TRAN	Transoxiana	69.45848	39.51566	regions	region	Masḥā	مسحا	Masḥā	مسحا	Masha	Masha
NUJAKATH_695E414N_S_TRAN	Transoxiana	69.50903	41.40191	towns	cite	Nūǧākaṯ	نوجاكث	Nūǧākaṯ	نوجاكث	Nujakath	Nujakath
