source,target,weight,distance
QADAS_354E331N_S_SHAM,ROUTPOINT0117_355E332N_O_NODA,0.71133874,14058
JUBBYUSUF_355E329N_S_SHAM,ROUTPOINT0117_355E332N_O_NODA,0.293780663,34039
JASHSH_354E330N_S_SHAM,JUBBYUSUF_355E329N_S_SHAM,0.713521227,14015
ROUTPOINT0116_354E331N_O_NODA,JASHSH_354E330N_S_SHAM,0.997406742,10026
ROUTPOINT0116_354E331N_O_NODA,QADAS_354E331N_S_SHAM,1.948558067,5132
SUR_352E332N_S_SHAM,MAJDALSALIM_354E332N_S_SHAM,0.425894378,23480
SUR_352E332N_S_SHAM,ROUTPOINT0116_354E331N_O_NODA,0.357053594,28007
AKKA_350E329N_S_SHAM,SUR_352E332N_S_SHAM,0.242606565,41219
TABARIYYA_355E327N_S_SHAM,JUBBYUSUF_355E329N_S_SHAM,0.574283581,17413
KABUL_352E328N_S_SHAM,TABARIYYA_355E327N_S_SHAM,0.334258114,29917
AKKA_350E329N_S_SHAM,KABUL_352E328N_S_SHAM,0.664937828,15039
LAJJUN_352E326N_S_SHAM,AKKA_350E329N_S_SHAM,0.248120487,40303
KANISA_349E327N_S_SHAM,AKKA_350E329N_S_SHAM,0.394337316,25359
QAYSARIYYA_348E324N_S_SHAM,KANISA_349E327N_S_SHAM,0.346308353,28876
LAJJUN_352E326N_S_SHAM,TABARIYYA_355E327N_S_SHAM,0.333200053,30012
ROUTPOINT0115_355E326N_O_NODA,AQABAFIQ_356E327N_S_SHAM,0.621735887,16084
TABARIYYA_355E327N_S_SHAM,ROUTPOINT0115_355E326N_O_NODA,1.055520372,9474
BAYSAN_354E325N_S_SHAM,ROUTPOINT0115_355E326N_O_NODA,0.433594936,23063
TAASIR_353E323N_S_SHAM,BAYSAN_354E325N_S_SHAM,0.478125747,20915
NABULUS_352E322N_S_SHAM,TAASIR_353E323N_S_SHAM,0.505970451,19764
LAJJUN_352E326N_S_SHAM,BAYSAN_354E325N_S_SHAM,0.400368339,24977
QALANSUWA_349E322N_S_SHAM,LAJJUN_352E326N_S_SHAM,0.224406445,44562
NABULUS_352E322N_S_SHAM,ROUTPOINT0113_351E319N_O_NODA,0.256726227,38952
LUDD_348E319N_S_SHAM,NABULUS_352E322N_S_SHAM,0.208099222,48054
KAFARSABA_348E321N_S_SHAM,QAYSARIYYA_348E324N_S_SHAM,0.280237642,35684
ARSUF_348E321N_S_SHAM,QAYSARIYYA_348E324N_S_SHAM,0.292620121,34174
LUDD_348E319N_S_SHAM,QALANSUWA_349E322N_S_SHAM,0.257181802,38883
KAFARSABA_348E321N_S_SHAM,QALANSUWA_349E322N_S_SHAM,0.621310966,16095
LUDD_348E319N_S_SHAM,KAFARSABA_348E321N_S_SHAM,0.401493556,24907
RAMLA_348E319N_S_SHAM,ARSUF_348E321N_S_SHAM,0.327407262,30543
BAYTRAM_356E318N_S_SHAM,AMMAN_359E319N_S_SHAM,0.290292615,34448
ROUTPOINT0108_355E317N_O_NODA,BAYTRAM_356E318N_S_SHAM,1.323276432,7557
ROUTPOINT0108_355E317N_O_NODA,RIHA_354E318N_S_SHAM,0.968898363,10321
ROUTPOINT0114_353E318N_O_NODA,RIHA_354E318N_S_SHAM,1.841281532,5431
